"",BBK01.WX0042,BBK01.WX0042_FLAGS
"",Disount interest rates pursuant to section 253 (2) of the German Commercial Code including spread / residual maturity of 20.0 years / end of month,
unit,,
unit multiplier,one,
last update,2015-02-02 10:29:10,
2008-12,5.38,
2009-01,5.39,
2009-02,5.40,
2009-03,5.41,
2009-04,5.41,
2009-05,5.42,
2009-06,5.42,
2009-07,5.41,
2009-08,5.41,Corrected value
2009-09,5.40,
2009-10,5.39,
2009-11,5.38,
2009-12,5.38,
2010-01,5.37,
2010-02,5.36,
2010-03,5.35,
2010-04,5.34,
2010-05,5.34,
2010-06,5.33,
2010-07,5.32,
2010-08,5.30,
2010-09,5.29,
2010-10,5.27,
2010-11,5.26,
2010-12,5.26,
2011-01,5.25,
2011-02,5.25,
2011-03,5.24,
2011-04,5.24,
2011-05,5.23,
2011-06,5.23,
2011-07,5.22,
2011-08,5.22,
2011-09,5.22,
2011-10,5.22,
2011-11,5.22,
2011-12,5.22,
2012-01,5.21,
2012-02,5.21,
2012-03,5.20,
2012-04,5.19,
2012-05,5.17,
2012-06,5.16,
2012-07,5.15,
2012-08,5.14,
2012-09,5.13,
2012-10,5.12,
2012-11,5.11,
2012-12,5.10,
2013-01,5.09,
2013-02,5.08,
2013-03,5.07,
2013-04,5.05,
2013-05,5.03,
2013-06,5.01,
2013-07,5.00,
2013-08,4.99,
2013-09,4.98,
2013-10,4.97,
2013-11,4.96,
2013-12,4.95,
2014-01,4.94,
2014-02,4.93,
2014-03,4.91,
2014-04,4.89,
2014-05,4.87,
2014-06,4.84,
2014-07,4.82,
2014-08,4.78,
2014-09,4.75,
2014-10,4.71,
2014-11,4.67,
2014-12,4.63,
2015-01,4.58,
