"",BBFB1.Q.N.DE.RU.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:30,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,7.193,
1992-07,9.236,
1992-10,13.586,
1993-01,50.345,
1993-04,23.874,
1993-07,-0.842,
1993-10,74.784,
1994-01,-6.650,
1994-04,-6.661,
1994-07,-6.628,
1994-10,2.343,
1995-01,-24.797,
1995-04,-26.657,
1995-07,13.491,
1995-10,12.975,
1996-01,-22.692,
1996-04,-4.607,
1996-07,-43.193,
1996-10,-20.177,
1997-01,20.123,
1997-04,-14.271,
1997-07,63.630,
1997-10,82.912,
1998-01,-112.755,
1998-04,58.367,
1998-07,-56.013,
1998-10,29.824,
1999-01,-42.254,
1999-04,17.531,
1999-07,18.304,
1999-10,124.635,
2000-01,-13.115,
2000-04,-36.538,
2000-07,239.189,
2000-10,-54.391,
2001-01,-56.893,
2001-04,-49.501,
2001-07,60.313,
2001-10,268.019,
2002-01,-278.430,
2002-04,100.599,
2002-07,34.825,
2002-10,60.902,
2003-01,-94.290,
2003-04,46.724,
2003-07,48.539,
2003-10,78.454,
2004-01,37.285,
2004-04,71.544,
2004-07,59.977,
2004-10,125.731,
2005-01,169.908,
2005-04,-152.525,
2005-07,-48.857,
2005-10,186.668,
2006-01,-5.661,
2006-04,31.303,
2006-07,219.252,
2006-10,2206.395,
2007-01,-65.837,
2007-04,235.555,
2007-07,126.806,
2007-10,414.603,
2008-01,-112.692,
2008-04,183.647,
2008-07,158.783,
2008-10,193.272,
2009-01,-72.187,
2009-04,43.170,
2009-07,-4.140,
2009-10,-1263.747,
2010-01,86.269,
2010-04,52.993,
2010-07,125.186,
2010-10,265.187,
2011-01,417.538,
2011-04,-326.379,
2011-07,-314.118,
2011-10,294.037,
2012-01,-42.195,
2012-04,197.578,
2012-07,26.842,
2012-10,272.122,
2013-01,-290.323,
2013-04,2.003,
2013-07,-44.246,
2013-10,61.094,
2014-01,111.771,Provisional value
2014-04,46.409,Provisional value
2014-07,167.768,Provisional value
2014-10,434.456,Provisional value
