"",BBK01.OELB06R,BBK01.OELB06R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:06,
2002-01,0.241,
2002-04,0.247,
2002-07,0.233,
2002-10,0.212,
2003-01,0.235,
2003-04,0.244,
2003-07,0.223,
2003-10,0.188,
2004-01,0.194,
2004-04,0.201,
2004-07,0.216,
2004-10,0.164,
2005-01,0.172,
2005-04,0.178,
2005-07,0.172,
2005-10,0.154,
2006-01,0.158,
2006-04,0.169,
2006-07,0.158,
2006-10,0.134,
2007-01,0.147,
2007-04,0.156,
2007-07,0.146,
2007-10,0.138,
2008-01,0.139,
2008-04,0.142,
2008-07,0.130,
2008-10,0.120,
2009-01,0.143,
2009-04,0.156,
2009-07,0.146,
2009-10,0.137,
2010-01,0.146,
2010-04,0.150,
2010-07,0.140,
2010-10,0.126,
2011-01,0.134,
2011-04,0.142,
2011-07,0.131,
2011-10,0.121,
2012-01,0.127,
2012-04,0.155,
2012-07,0.145,
2012-10,0.139,
2013-01,0.147,
2013-04,0.150,
2013-07,0.142,
2013-10,0.139,
2014-01,0.152,
2014-04,0.150,
2014-07,0.139,
