"",BBK01.OEBL07O,BBK01.OEBL07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:54,
2002-01,-23.865,
2002-04,-24.399,
2002-07,-24.644,
2002-10,-27.474,
2003-01,-28.914,
2003-04,-29.294,
2003-07,-29.821,
2003-10,-31.986,
2004-01,-33.109,
2004-04,-33.455,
2004-07,-33.445,
2004-10,-34.209,
2005-01,3.021,
2005-04,3.010,
2005-07,2.913,
2005-10,2.890,
2006-01,2.834,
2006-04,2.755,
2006-07,2.668,
2006-10,2.665,
2007-01,2.842,
2007-04,2.871,
2007-07,2.872,
2007-10,2.999,
2008-01,3.051,
2008-04,3.109,
2008-07,3.066,
2008-10,3.403,
2009-01,3.422,
2009-04,3.557,
2009-07,3.748,
2009-10,3.696,
2010-01,3.590,
2010-04,3.524,
2010-07,3.516,
2010-10,3.737,
2011-01,3.848,
2011-04,3.767,
2011-07,3.761,
2011-10,3.714,
2012-01,3.847,
2012-04,3.780,
2012-07,3.719,
2012-10,3.669,
2013-01,3.492,
2013-04,3.374,
2013-07,3.257,
2013-10,3.211,
2014-01,3.131,
2014-04,3.061,
2014-07,3.232,
