"",BBK01.OECB09R,BBK01.OECB09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:37,
2002-01,1.358,
2002-04,1.276,
2002-07,1.266,
2002-10,1.298,
2003-01,1.039,
2003-04,0.935,
2003-07,0.913,
2003-10,0.896,
2004-01,0.860,
2004-04,0.828,
2004-07,0.784,
2004-10,0.940,
2005-01,0.983,
2005-04,0.948,
2005-07,0.951,
2005-10,0.900,
2006-01,0.861,
2006-04,0.840,
2006-07,0.783,
2006-10,0.744,
2007-01,0.706,
2007-04,0.697,
2007-07,0.668,
2007-10,0.683,
2008-01,0.648,
2008-04,0.642,
2008-07,0.627,
2008-10,0.780,
2009-01,0.830,
2009-04,0.814,
2009-07,0.716,
2009-10,0.805,
2010-01,0.821,
2010-04,0.790,
2010-07,0.775,
2010-10,0.776,
2011-01,0.837,
2011-04,0.817,
2011-07,0.809,
2011-10,0.821,
2012-01,0.858,
2012-04,0.871,
2012-07,0.861,
2012-10,0.864,
2013-01,0.904,
2013-04,0.902,
2013-07,0.896,
2013-10,0.882,
2014-01,0.896,
2014-04,0.910,
2014-07,0.872,
