"",BBK01.AU1725,BBK01.AU1725_FLAGS
"","Net assets in gold and foreign currency / Bundesbank Figures are daily averages for the reserve maintenance period ending in the month indicated. Owing to the changeover to the new operational framework for monetary policity, there is no reserve maintenance period ending in February 2004.",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 15:18:31,
1999-02,80488,
1999-03,79080,
1999-04,83027,
1999-05,84553,
1999-06,84714,
1999-07,85131,
1999-08,85328,
1999-09,85579,
1999-10,87267,
1999-11,87818,
1999-12,87997,
2000-01,90641,
2000-02,91497,
2000-03,91856,
2000-04,93698,
2000-05,93653,
2000-06,93272,
2000-07,93427,
2000-08,93047,
2000-09,92593,
2000-10,97043,
2000-11,98242,
2000-12,97621,
2001-01,93009,
2001-02,90306,
2001-03,89128,
2001-04,90112,
2001-05,89965,
2001-06,89692,
2001-07,92849,
2001-08,94151,
2001-09,93707,
2001-10,91347,
2001-11,89826,
2001-12,89439,
2002-01,89871,
2002-02,89899,
2002-03,89971,
2002-04,92333,
2002-05,92323,
2002-06,91630,
2002-07,84717,
2002-08,82518,
2002-09,82396,
2002-10,83951,
2002-11,84316,
2002-12,84413,
2003-01,82295,
2003-02,81357,
2003-03,81390,
2003-04,78545,
2003-05,77613,
2003-06,77234,
2003-07,74302,
2003-08,73722,
2003-09,73908,
2003-10,75673,
2003-11,76116,
2003-12,76139,
2004-01,73135,
2004-02,.,No value available
2004-03,72371,
2004-04,72875,
2004-05,75392,
2004-06,75577,
2004-07,74613,
2004-08,72113,
2004-09,72182,
2004-10,72063,
2004-11,72182,
2004-12,72171,
2005-01,70174,
2005-02,67664,
2005-03,67620,
2005-04,68063,
2005-05,69328,
2005-06,69467,
2005-07,71127,
2005-08,74142,
2005-09,73960,
2005-10,75077,
2005-11,77199,
2005-12,77189,
2006-01,79091,
2006-02,81629,
2006-03,81041,
2006-04,82493,
2006-05,85154,
2006-06,84913,
2006-07,84033,
2006-08,82338,
2006-09,82346,
2006-10,82607,
2006-11,82805,
2006-12,82720,
2007-01,82519,
2007-02,82160,
2007-03,82039,
2007-04,82749,
2007-05,83416,
2007-06,83559,
2007-07,82730,
2007-08,81081,
2007-09,81137,
2007-10,82406,
2007-11,84631,
2007-12,84595,
2008-01,91480,
2008-02,96011,
2008-03,90846,
2008-04,92916,
2008-05,99585,
2008-06,104432,
2008-07,102780,
2008-08,99600,
2008-09,100577,
2008-10,114426,
2008-11,138612,
2008-12,146949,
2009-01,141215,
2009-02,132941,
2009-03,135267,
2009-04,142887,
2009-05,150689,
2009-06,145673,
2009-07,137962,
2009-08,128621,
2009-09,126024,
2009-10,124191,
2009-11,120695,
2009-12,116271,
2010-01,112053,
2010-02,112284,
2010-03,112628,
2010-04,116187,
2010-05,121093,
2010-06,122203,
2010-07,133890,
2010-08,145806,
2010-09,145492,
2010-10,142229,
2010-11,136650,
2010-12,136481,
2011-01,141932,
2011-02,148127,
2011-03,148397,
2011-04,146578,
2011-05,142366,
2011-06,142517,
2011-07,144253,
2011-08,146671,
2011-09,146676,
2011-10,155518,
2011-11,167493,
2011-12,168692,
2012-01,182277,
2012-02,183166,
2012-03,183611,
2012-04,182031,
2012-05,181346,
2012-06,180414,
2012-07,180267,
2012-08,179627,
2012-09,177700,
2012-10,181799,
2012-11,190658,
2012-12,190826,
2013-01,185072,
2013-02,176759,
2013-03,176431,
2013-04,177095,
2013-05,176698,
2013-06,175421,
2013-07,161258,
2013-08,136864,
2013-09,136340,
2013-10,138333,
2013-11,142500,
2013-12,142324,
2014-01,136435,
2014-02,128820,
2014-03,128514,
2014-04,130894,
2014-05,136216,
2014-06,136234,
2014-07,136902,
2014-08,138846,
2014-09,138681,
2014-10,139449,
2014-11,140953,
2014-12,140825,
2015-01,141903,
