"",BBK01.OEBB07O,BBK01.OEBB07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:49,
2002-01,-0.071,
2002-04,-0.193,
2002-07,-0.088,
2002-10,0.070,
2003-01,-0.048,
2003-04,0.039,
2003-07,0.052,
2003-10,0.082,
2004-01,-0.249,
2004-04,-0.813,
2004-07,-0.916,
2004-10,-2.592,
2005-01,0.888,
2005-04,0.886,
2005-07,0.874,
2005-10,0.886,
2006-01,0.866,
2006-04,0.857,
2006-07,0.891,
2006-10,0.895,
2007-01,0.911,
2007-04,0.934,
2007-07,0.934,
2007-10,0.949,
2008-01,0.992,
2008-04,1.038,
2008-07,0.997,
2008-10,0.971,
2009-01,1.090,
2009-04,1.445,
2009-07,1.427,
2009-10,1.408,
2010-01,1.201,
2010-04,1.278,
2010-07,1.481,
2010-10,1.520,
2011-01,1.363,
2011-04,1.340,
2011-07,1.331,
2011-10,1.257,
2012-01,1.488,
2012-04,1.614,
2012-07,1.547,
2012-10,1.535,
2013-01,1.477,
2013-04,1.428,
2013-07,1.397,
2013-10,1.207,
2014-01,1.199,
2014-04,1.217,
2014-07,1.209,
