"",BBK01.CELY01,BBK01.CELY01_FLAGS
"",Trade credits and advances                                    debtor: Total            creditor: Nichtf. Kapitalgesellschaften,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:35,
1999-01,7.7,
1999-04,6.2,
1999-07,4.7,
1999-10,7.1,
2000-01,11.2,
2000-04,4.9,
2000-07,6.5,
2000-10,5.0,
2001-01,0.5,
2001-04,-0.7,
2001-07,-4.0,
2001-10,-6.3,
2002-01,-5.3,
2002-04,4.1,
2002-07,-3.3,
2002-10,-1.7,
2003-01,3.0,
2003-04,-0.2,
2003-07,0.3,
2003-10,0.9,
2004-01,-1.5,
2004-04,-1.6,
2004-07,-7.4,
2004-10,-6.8,
2005-01,8.0,
2005-04,7.8,
2005-07,5.9,
2005-10,3.0,
2006-01,7.5,
2006-04,1.1,
2006-07,-0.1,
2006-10,2.0,
2007-01,19.5,
2007-04,12.5,
2007-07,16.1,
2007-10,8.0,
2008-01,11.2,
2008-04,11.5,
2008-07,2.7,
2008-10,-1.6,
2009-01,-22.7,
2009-04,-3.9,
2009-07,-17.2,
2009-10,-4.9,
2010-01,6.8,
2010-04,31.5,
2010-07,11.8,
2010-10,16.6,
2011-01,24.0,
2011-04,1.5,
2011-07,12.3,
2011-10,9.8,
2012-01,3.7,
2012-04,8.9,
2012-07,9.6,
2012-10,6.6,
2013-01,5.2,
2013-04,-11.9,
2013-07,11.7,
2013-10,-9.5,
2014-01,1.4,
2014-04,0.0,
2014-07,15.3,
