"",BBFB1.Q.N.DE.SE.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:42,
1991-01,479.465,
1991-04,297.728,
1991-07,235.995,
1991-10,285.551,
1992-01,209.549,
1992-04,348.341,
1992-07,319.848,
1992-10,231.077,
1993-01,290.155,
1993-04,137.006,
1993-07,70.673,
1993-10,180.970,
1994-01,150.583,
1994-04,219.188,
1994-07,9.377,
1994-10,435.370,
1995-01,1045.410,
1995-04,926.211,
1995-07,765.758,
1995-10,1119.378,
1996-01,775.803,
1996-04,775.435,
1996-07,445.304,
1996-10,731.607,
1997-01,781.509,
1997-04,1166.098,
1997-07,908.843,
1997-10,561.481,
1998-01,1029.878,
1998-04,1139.274,
1998-07,643.122,
1998-10,854.258,
1999-01,888.266,
1999-04,1002.792,
1999-07,917.471,
1999-10,1099.833,
2000-01,1620.484,
2000-04,1705.479,
2000-07,1453.290,
2000-10,701.675,
2001-01,1432.707,
2001-04,1287.452,
2001-07,953.924,
2001-10,1448.439,
2002-01,1376.150,
2002-04,1278.898,
2002-07,1113.789,
2002-10,1466.685,
2003-01,1527.441,
2003-04,1228.647,
2003-07,1177.791,
2003-10,1683.142,
2004-01,1385.832,
2004-04,1465.540,
2004-07,1177.601,
2004-10,1733.402,
2005-01,1933.568,
2005-04,1823.708,
2005-07,1746.807,
2005-10,1246.990,
2006-01,1851.837,
2006-04,1810.785,
2006-07,1675.667,
2006-10,1454.171,
2007-01,2326.086,
2007-04,1710.683,
2007-07,2235.673,
2007-10,1956.143,
2008-01,3343.985,
2008-04,1863.933,
2008-07,1893.129,
2008-10,2046.557,
2009-01,2039.165,
2009-04,1920.357,
2009-07,1745.107,
2009-10,2250.110,
2010-01,1721.986,
2010-04,1708.245,
2010-07,1449.521,
2010-10,1982.757,
2011-01,3032.882,
2011-04,2950.386,
2011-07,2722.531,
2011-10,2984.078,
2012-01,3213.841,
2012-04,2822.464,
2012-07,2383.939,
2012-10,2578.109,
2013-01,2494.157,
2013-04,2440.021,
2013-07,2210.705,
2013-10,2571.527,
2014-01,2657.562,Provisional value
2014-04,2603.883,Provisional value
2014-07,2748.099,Provisional value
