"",BBK01.OEAD05R,BBK01.OEAD05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:31,
2002-01,0.152,
2002-04,0.150,
2002-07,0.146,
2002-10,0.142,
2003-01,0.143,
2003-04,0.140,
2003-07,0.125,
2003-10,0.125,
2004-01,0.122,
2004-04,0.122,
2004-07,0.117,
2004-10,0.110,
2005-01,0.109,
2005-04,0.110,
2005-07,0.114,
2005-10,0.109,
2006-01,0.111,
2006-04,0.113,
2006-07,0.115,
2006-10,0.101,
2007-01,0.107,
2007-04,0.104,
2007-07,0.102,
2007-10,0.110,
2008-01,0.117,
2008-04,0.108,
2008-07,0.105,
2008-10,0.103,
2009-01,0.101,
2009-04,0.098,
2009-07,0.097,
2009-10,0.093,
2010-01,0.104,
2010-04,0.100,
2010-07,0.097,
2010-10,0.096,
2011-01,0.097,
2011-04,0.105,
2011-07,0.102,
2011-10,0.099,
2012-01,0.095,
2012-04,0.098,
2012-07,0.091,
2012-10,0.095,
2013-01,0.083,
2013-04,0.082,
2013-07,0.085,
2013-10,0.081,
2014-01,0.079,
2014-04,0.080,
2014-07,0.076,
