"",BBK01.CEF530,BBK01.CEF530_FLAGS
"",Equity and investment fund shares or units                                                     debtor: MFI                          creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:52,
1999-01,367.3,
1999-04,359.9,
1999-07,351.6,
1999-10,383.5,
2000-01,431.4,
2000-04,395.7,
2000-07,401.6,
2000-10,384.9,
2001-01,386.2,
2001-04,388.3,
2001-07,355.2,
2001-10,387.0,
2002-01,400.8,
2002-04,389.2,
2002-07,308.4,
2002-10,305.2,
2003-01,304.0,
2003-04,340.7,
2003-07,343.7,
2003-10,356.4,
2004-01,352.9,
2004-04,361.4,
2004-07,358.3,
2004-10,361.5,
2005-01,375.2,
2005-04,381.7,
2005-07,415.6,
2005-10,427.2,
2006-01,477.1,
2006-04,468.1,
2006-07,487.0,
2006-10,492.8,
2007-01,516.7,
2007-04,528.3,
2007-07,495.9,
2007-10,515.6,
2008-01,467.4,
2008-04,434.9,
2008-07,388.9,
2008-10,294.8,
2009-01,297.6,
2009-04,317.9,
2009-07,341.2,
2009-10,332.3,
2010-01,347.7,
2010-04,327.4,
2010-07,320.7,
2010-10,333.5,
2011-01,338.3,
2011-04,345.7,
2011-07,311.3,
2011-10,311.5,
2012-01,332.3,
2012-04,316.1,
2012-07,322.4,
2012-10,345.7,
2013-01,341.9,
2013-04,344.9,
2013-07,349.6,
2013-10,358.3,
2014-01,357.8,
2014-04,354.6,
2014-07,364.8,
