"",BBFN1.M.DE.N.1.L.E1.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.E1.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Countries in Europe,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:43,
1995-01,11.805,
1995-02,11.625,
1995-03,11.668,
1995-04,11.697,
1995-05,11.703,
1995-06,11.291,
1995-07,11.732,
1995-08,11.611,
1995-09,11.582,
1995-10,11.844,
1995-11,12.099,
1995-12,11.469,
1996-01,11.312,
1996-02,11.230,
1996-03,11.004,
1996-04,11.157,
1996-05,11.256,
1996-06,11.135,
1996-07,11.037,
1996-08,11.194,
1996-09,11.187,
1996-10,11.162,
1996-11,11.044,
1996-12,11.260,
1997-01,11.693,
1997-02,11.648,
1997-03,11.533,
1997-04,11.676,
1997-05,11.363,
1997-06,11.217,
1997-07,11.424,
1997-08,11.767,
1997-09,11.530,
1997-10,11.610,
1997-11,11.762,
1997-12,11.571,
1998-01,11.489,
1998-02,11.214,
1998-03,11.245,
1998-04,11.424,
1998-05,11.552,
1998-06,12.968,
1998-07,13.299,
1998-08,13.547,
1998-09,13.838,
1998-10,13.891,
1998-11,13.167,
1998-12,13.193,
1999-01,13.572,
1999-02,13.584,
1999-03,13.370,
1999-04,13.495,
1999-05,13.383,
1999-06,12.481,
1999-07,14.579,
1999-08,14.670,
1999-09,15.034,
1999-10,15.198,
1999-11,15.011,
1999-12,15.516,
2000-01,15.901,
2000-02,14.691,
2000-03,14.695,
2000-04,14.397,
2000-05,14.550,
2000-06,14.791,
2000-07,15.389,
2000-08,15.341,
2000-09,16.743,
2000-10,17.312,
2000-11,17.874,
2000-12,18.411,
2001-01,18.665,
2001-02,21.526,
2001-03,22.117,
2001-04,25.268,
2001-05,25.481,
2001-06,25.282,
2001-07,26.634,
2001-08,28.546,
2001-09,29.104,
2001-10,29.737,
2001-11,30.991,
2001-12,30.782,
2002-01,31.694,
2002-02,31.767,
2002-03,30.972,
2002-04,31.236,
2002-05,31.180,
2002-06,31.189,
2002-07,32.735,
2002-08,32.951,
2002-09,32.859,
2002-10,33.711,
2002-11,34.124,
2002-12,32.144,
2003-01,32.589,
2003-02,33.561,
2003-03,26.835,
2003-04,27.561,
2003-05,28.020,
2003-06,29.709,
2003-07,30.026,
2003-08,31.336,
2003-09,31.170,
2003-10,31.687,
2003-11,31.727,
2003-12,31.166,
2004-01,31.747,
2004-02,32.333,
2004-03,32.483,
2004-04,31.909,
2004-05,32.143,
2004-06,32.443,
2004-07,31.989,
2004-08,31.540,
2004-09,31.524,
2004-10,30.204,
2004-11,30.799,
2004-12,31.839,
2005-01,31.735,
2005-02,34.220,
2005-03,34.504,
2005-04,34.318,
2005-05,35.254,
2005-06,37.292,
2005-07,38.607,
2005-08,39.265,
2005-09,42.298,
2005-10,43.295,
2005-11,42.294,
2005-12,42.877,
2006-01,43.761,
2006-02,45.707,
2006-03,44.876,
2006-04,46.022,
2006-05,47.510,
2006-06,52.738,
2006-07,53.939,
2006-08,56.199,
2006-09,57.287,
2006-10,58.545,
2006-11,60.854,
2006-12,63.628,
2007-01,64.181,
2007-02,63.570,
2007-03,63.245,
2007-04,65.287,
2007-05,66.695,
2007-06,67.515,
2007-07,67.889,
2007-08,71.873,
2007-09,73.317,
2007-10,74.768,
2007-11,75.100,
2007-12,78.743,
2008-01,80.175,
2008-02,85.887,
2008-03,89.658,
2008-04,91.150,
2008-05,92.202,
2008-06,92.679,
2008-07,92.759,
2008-08,93.465,
2008-09,93.208,
2008-10,93.829,
2008-11,94.640,
2008-12,101.107,
2009-01,103.338,
2009-02,105.479,
2009-03,102.970,
2009-04,103.955,
2009-05,104.878,
2009-06,104.864,
2009-07,105.000,
2009-08,110.416,
2009-09,110.076,
2009-10,107.737,
2009-11,108.355,
2009-12,107.224,
2010-01,105.447,
2010-02,104.989,
2010-03,105.853,
2010-04,106.030,
2010-05,106.810,
2010-06,105.769,
2010-07,108.874,
2010-08,107.190,
2010-09,106.230,
2010-10,104.537,
2010-11,104.461,
2010-12,108.436,
2011-01,106.825,
2011-02,104.457,
2011-03,103.619,
2011-04,99.607,
2011-05,99.495,
2011-06,96.952,
2011-07,97.703,
2011-08,97.478,
2011-09,94.754,
2011-10,94.623,
2011-11,94.684,
2011-12,94.702,
2012-01,94.187,
2012-02,94.108,
2012-03,93.010,
2012-04,93.855,
2012-05,89.767,
2012-06,89.199,
2012-07,89.119,
2012-08,90.771,
2012-09,86.923,
2012-10,87.513,
2012-11,87.555,
2012-12,86.123,
2013-01,85.261,
2013-02,83.347,
2013-03,85.227,
2013-04,83.447,
2013-05,81.742,
2013-06,79.502,
2013-07,77.713,
2013-08,75.961,
2013-09,77.909,
2013-10,75.043,
2013-11,73.683,
2013-12,69.392,
2014-01,68.197,
2014-02,67.049,
2014-03,65.257,
2014-04,66.115,
2014-05,66.118,
2014-06,66.473,
2014-07,66.504,
2014-08,66.430,
2014-09,66.361,
2014-10,66.710,
2014-11,67.147,
2014-12,66.814,
