"",BBK01.OELB13J,BBK01.OELB13J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:42,
2002-01,0.195,
2002-04,0.192,
2002-07,0.193,
2002-10,0.191,
2003-01,0.188,
2003-04,0.182,
2003-07,0.184,
2003-10,0.181,
2004-01,0.176,
2004-04,0.175,
2004-07,0.174,
2004-10,0.180,
2005-01,0.178,
2005-04,0.173,
2005-07,0.172,
2005-10,0.167,
2006-01,0.169,
2006-04,0.167,
2006-07,0.169,
2006-10,0.170,
2007-01,0.169,
2007-04,0.172,
2007-07,0.172,
2007-10,0.168,
2008-01,0.171,
2008-04,0.166,
2008-07,0.164,
2008-10,0.157,
2009-01,0.154,
2009-04,0.151,
2009-07,0.152,
2009-10,0.149,
2010-01,0.147,
2010-04,0.154,
2010-07,0.154,
2010-10,0.150,
2011-01,0.157,
2011-04,0.156,
2011-07,0.153,
2011-10,0.173,
2012-01,0.170,
2012-04,0.625,
2012-07,0.629,
2012-10,0.633,
2013-01,0.638,
2013-04,0.638,
2013-07,0.630,
2013-10,0.624,
2014-01,0.625,
2014-04,0.632,
2014-07,0.631,
