"",BBK01.OEAH08U,BBK01.OEAH08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:14,
2002-01,2.364,
2002-04,2.405,
2002-07,2.412,
2002-10,2.440,
2003-01,2.388,
2003-04,2.322,
2003-07,2.241,
2003-10,2.257,
2004-01,2.208,
2004-04,2.121,
2004-07,2.051,
2004-10,2.039,
2005-01,2.008,
2005-04,1.950,
2005-07,1.918,
2005-10,1.908,
2006-01,1.900,
2006-04,1.901,
2006-07,1.987,
2006-10,2.022,
2007-01,2.113,
2007-04,2.181,
2007-07,2.234,
2007-10,2.326,
2008-01,2.377,
2008-04,2.440,
2008-07,2.509,
2008-10,2.540,
2009-01,2.342,
2009-04,2.121,
2009-07,1.921,
2009-10,1.705,
2010-01,1.663,
2010-04,1.622,
2010-07,1.577,
2010-10,1.601,
2011-01,1.592,
2011-04,1.654,
2011-07,1.651,
2011-10,1.702,
2012-01,1.669,
2012-04,1.609,
2012-07,1.562,
2012-10,1.477,
2013-01,1.390,
2013-04,1.311,
2013-07,1.261,
2013-10,1.266,
2014-01,1.235,
2014-04,1.255,
2014-07,1.226,
