"",BBK01.OELB15Q,BBK01.OELB15Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:00,
2002-01,0.327,
2002-04,0.325,
2002-07,0.327,
2002-10,0.332,
2003-01,0.332,
2003-04,0.321,
2003-07,0.311,
2003-10,0.302,
2004-01,0.291,
2004-04,0.295,
2004-07,0.290,
2004-10,0.274,
2005-01,0.262,
2005-04,0.259,
2005-07,0.252,
2005-10,0.238,
2006-01,0.228,
2006-04,0.228,
2006-07,0.228,
2006-10,0.219,
2007-01,0.217,
2007-04,0.216,
2007-07,0.206,
2007-10,0.206,
2008-01,0.200,
2008-04,0.191,
2008-07,0.196,
2008-10,0.193,
2009-01,0.197,
2009-04,0.205,
2009-07,0.233,
2009-10,0.238,
2010-01,0.239,
2010-04,0.243,
2010-07,0.242,
2010-10,0.230,
2011-01,0.228,
2011-04,0.226,
2011-07,0.234,
2011-10,0.236,
2012-01,0.243,
2012-04,0.263,
2012-07,0.272,
2012-10,0.269,
2013-01,0.269,
2013-04,0.266,
2013-07,0.272,
2013-10,0.280,
2014-01,0.281,
2014-04,0.283,
2014-07,0.277,
