"",BBK01.OEAF03R,BBK01.OEAF03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:36,
2002-01,4.900,
2002-04,4.913,
2002-07,4.947,
2002-10,5.030,
2003-01,4.991,
2003-04,5.024,
2003-07,5.116,
2003-10,5.132,
2004-01,5.082,
2004-04,5.081,
2004-07,5.094,
2004-10,5.072,
2005-01,5.810,
2005-04,5.845,
2005-07,5.850,
2005-10,5.832,
2006-01,5.846,
2006-04,5.932,
2006-07,6.008,
2006-10,5.975,
2007-01,5.988,
2007-04,6.065,
2007-07,6.069,
2007-10,6.093,
2008-01,5.971,
2008-04,5.877,
2008-07,5.921,
2008-10,5.909,
2009-01,5.821,
2009-04,6.157,
2009-07,6.216,
2009-10,6.087,
2010-01,6.250,
2010-04,6.289,
2010-07,6.318,
2010-10,6.345,
2011-01,6.348,
2011-04,6.353,
2011-07,6.375,
2011-10,6.409,
2012-01,6.426,
2012-04,6.543,
2012-07,6.614,
2012-10,6.693,
2013-01,6.693,
2013-04,6.730,
2013-07,6.799,
2013-10,6.868,
2014-01,6.882,
2014-04,6.930,
2014-07,7.006,
