"",BBFN1.M.DE.N.1.A.VE.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.VE.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Venezuela,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:23,
1994-07,0.299,
1994-08,0.302,
1994-09,0.302,
1994-10,0.315,
1994-11,0.312,
1994-12,0.311,
1995-01,0.300,
1995-02,0.291,
1995-03,0.285,
1995-04,0.287,
1995-05,0.292,
1995-06,0.280,
1995-07,0.280,
1995-08,0.280,
1995-09,0.278,
1995-10,0.273,
1995-11,0.262,
1995-12,0.258,
1996-01,0.245,
1996-02,0.247,
1996-03,0.237,
1996-04,0.244,
1996-05,0.257,
1996-06,0.270,
1996-07,0.250,
1996-08,0.247,
1996-09,0.261,
1996-10,0.258,
1996-11,0.271,
1996-12,0.252,
1997-01,0.242,
1997-02,0.272,
1997-03,0.248,
1997-04,0.243,
1997-05,0.243,
1997-06,0.253,
1997-07,0.291,
1997-08,0.275,
1997-09,0.306,
1997-10,0.214,
1997-11,0.206,
1997-12,0.213,
1998-01,0.203,
1998-02,0.235,
1998-03,0.227,
1998-04,0.216,
1998-05,0.221,
1998-06,0.219,
1998-07,0.216,
1998-08,0.248,
1998-09,0.246,
1998-10,0.230,
1998-11,0.255,
1998-12,0.236,
1999-01,0.258,
1999-02,0.249,
1999-03,0.258,
1999-04,0.258,
1999-05,0.296,
1999-06,0.278,
1999-07,0.278,
1999-08,0.302,
1999-09,0.268,
1999-10,0.271,
1999-11,0.282,
1999-12,0.268,
2000-01,0.271,
2000-02,0.277,
2000-03,0.305,
2000-04,0.281,
2000-05,0.297,
2000-06,0.306,
2000-07,0.314,
2000-08,0.291,
2000-09,0.323,
2000-10,0.487,
2000-11,0.462,
2000-12,0.417,
2001-01,0.430,
2001-02,0.382,
2001-03,0.392,
2001-04,0.440,
2001-05,0.469,
2001-06,0.464,
2001-07,0.424,
2001-08,0.426,
2001-09,0.470,
2001-10,0.458,
2001-11,0.440,
2001-12,0.419,
2002-01,0.413,
2002-02,0.396,
2002-03,0.407,
2002-04,0.435,
2002-05,0.445,
2002-06,0.440,
2002-07,0.424,
2002-08,0.335,
2002-09,0.400,
2002-10,0.343,
2002-11,0.306,
2002-12,0.354,
2003-01,0.320,
2003-02,0.367,
2003-03,0.383,
2003-04,0.349,
2003-05,0.383,
2003-06,0.340,
2003-07,0.355,
2003-08,0.363,
2003-09,0.340,
2003-10,0.358,
2003-11,0.289,
2003-12,0.408,
2004-01,0.354,
2004-02,0.411,
2004-03,0.447,
2004-04,0.401,
2004-05,0.395,
2004-06,0.485,
2004-07,0.390,
2004-08,0.406,
2004-09,0.420,
2004-10,0.438,
2004-11,0.474,
2004-12,0.443,
2005-01,0.432,
2005-02,0.388,
2005-03,0.420,
2005-04,0.480,
2005-05,0.462,
2005-06,0.474,
2005-07,0.481,
2005-08,0.554,
2005-09,0.501,
2005-10,0.553,
2005-11,0.539,
2005-12,0.527,
2006-01,0.520,
2006-02,0.445,
2006-03,0.464,
2006-04,0.474,
2006-05,0.575,
2006-06,0.582,
2006-07,0.547,
2006-08,0.513,
2006-09,0.517,
2006-10,0.529,
2006-11,0.515,
2006-12,0.462,
2007-01,0.456,
2007-02,0.465,
2007-03,0.524,
2007-04,0.534,
2007-05,0.620,
2007-06,0.535,
2007-07,0.637,
2007-08,0.589,
2007-09,0.638,
2007-10,0.634,
2007-11,0.745,
2007-12,0.724,
2008-01,0.799,
2008-02,0.758,
2008-03,0.826,
2008-04,0.815,
2008-05,0.894,
2008-06,0.895,
2008-07,0.848,
2008-08,0.826,
2008-09,0.783,
2008-10,0.764,
2008-11,0.686,
2008-12,0.652,
2009-01,0.694,
2009-02,0.663,
2009-03,0.703,
2009-04,0.620,
2009-05,0.734,
2009-06,0.746,
2009-07,0.779,
2009-08,0.797,
2009-09,0.772,
2009-10,0.728,
2009-11,0.763,
2009-12,0.798,
2010-01,0.722,
2010-02,0.711,
2010-03,0.760,
2010-04,0.688,
2010-05,0.733,
2010-06,0.740,
2010-07,0.739,
2010-08,0.798,
2010-09,0.793,
2010-10,0.781,
2010-11,0.739,
2010-12,0.701,
2011-01,0.763,
2011-02,0.789,
2011-03,0.785,
2011-04,0.821,
2011-05,0.410,
2011-06,0.411,
2011-07,0.415,
2011-08,0.439,
2011-09,0.420,
2011-10,0.440,
2011-11,0.438,
2011-12,0.446,
2012-01,0.445,
2012-02,0.460,
2012-03,0.471,
2012-04,0.485,
2012-05,0.505,
2012-06,0.514,
2012-07,0.530,
2012-08,0.543,
2012-09,0.585,
2012-10,0.421,
2012-11,0.438,
2012-12,0.452,
2013-01,0.437,
2013-02,0.434,
2013-03,0.427,
2013-04,0.429,
2013-05,0.441,
2013-06,0.437,
2013-07,0.463,
2013-08,0.479,
2013-09,0.530,
2013-10,0.549,
2013-11,0.587,
2013-12,0.594,
2014-01,0.616,
2014-02,0.590,
2014-03,0.595,
2014-04,0.579,
2014-05,0.572,
2014-06,0.569,
2014-07,0.541,
2014-08,0.550,
2014-09,0.560,
2014-10,0.571,
2014-11,0.571,
2014-12,0.590,
