"",BBDE1.M.DE.Y.AED5.A2P320000.F.C.I10.A,BBDE1.M.DE.Y.AED5.A2P320000.F.C.I10.A_FLAGS
"","Orders received from abroad, Non-euro-area countries / At constant prices / Germany / Capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:26,
2003-01,68.5,
2003-02,68.0,
2003-03,68.8,
2003-04,67.6,
2003-05,67.8,
2003-06,69.3,
2003-07,69.6,
2003-08,71.9,
2003-09,74.8,
2003-10,73.1,
2003-11,73.3,
2003-12,74.7,
2004-01,72.6,
2004-02,70.7,
2004-03,78.1,
2004-04,79.7,
2004-05,82.0,
2004-06,80.0,
2004-07,76.8,
2004-08,75.4,
2004-09,77.9,
2004-10,74.2,
2004-11,77.6,
2004-12,84.6,
2005-01,82.2,
2005-02,78.5,
2005-03,81.4,
2005-04,79.2,
2005-05,80.3,
2005-06,86.7,
2005-07,85.7,
2005-08,81.0,
2005-09,90.3,
2005-10,90.7,
2005-11,91.2,
2005-12,83.7,
2006-01,94.4,
2006-02,91.0,
2006-03,90.9,
2006-04,93.8,
2006-05,93.2,
2006-06,91.5,
2006-07,102.0,
2006-08,104.1,
2006-09,93.5,
2006-10,96.2,
2006-11,95.0,
2006-12,96.3,
2007-01,97.8,
2007-02,104.9,
2007-03,100.5,
2007-04,103.1,
2007-05,107.8,
2007-06,101.4,
2007-07,105.9,
2007-08,107.1,
2007-09,101.9,
2007-10,111.2,
2007-11,109.5,
2007-12,108.1,
2008-01,108.9,
2008-02,112.6,
2008-03,108.9,
2008-04,116.2,
2008-05,104.6,
2008-06,100.2,
2008-07,94.9,
2008-08,108.6,
2008-09,92.7,
2008-10,84.5,
2008-11,77.6,
2008-12,78.4,
2009-01,60.4,
2009-02,60.7,
2009-03,66.3,
2009-04,64.5,
2009-05,68.5,
2009-06,73.5,
2009-07,73.2,
2009-08,77.8,
2009-09,82.4,
2009-10,78.6,
2009-11,83.9,
2009-12,85.7,
2010-01,85.1,
2010-02,86.6,
2010-03,88.4,
2010-04,94.3,
2010-05,98.8,
2010-06,100.3,
2010-07,100.2,
2010-08,103.1,
2010-09,102.9,
2010-10,102.2,
2010-11,123.9,
2010-12,108.2,
2011-01,113.3,
2011-02,114.7,
2011-03,105.0,
2011-04,109.3,
2011-05,107.9,
2011-06,121.1,
2011-07,108.3,
2011-08,108.0,
2011-09,106.2,
2011-10,111.1,
2011-11,102.4,
2011-12,113.4,
2012-01,106.2,
2012-02,109.0,
2012-03,123.2,
2012-04,116.0,
2012-05,114.9,
2012-06,114.8,
2012-07,116.5,
2012-08,114.0,
2012-09,114.0,
2012-10,125.1,
2012-11,115.8,
2012-12,118.1,
2013-01,114.6,
2013-02,119.7,
2013-03,121.9,
2013-04,118.2,
2013-05,122.9,
2013-06,128.4,
2013-07,122.0,
2013-08,123.3,
2013-09,126.2,
2013-10,123.1,
2013-11,125.9,
2013-12,126.1,
2014-01,131.0,
2014-02,124.7,
2014-03,124.1,
2014-04,128.6,
2014-05,122.6,
2014-06,121.5,
2014-07,137.1,
2014-08,124.4,
2014-09,129.5,
2014-10,130.7,
2014-11,124.4,
2014-12,133.0,Provisional value
