"",BBK01.OEXJ05M,BBK01.OEXJ05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:49,
2002-01,0.986,
2002-04,1.015,
2002-07,1.025,
2002-10,0.874,
2003-01,1.637,
2003-04,1.632,
2003-07,1.574,
2003-10,1.567,
2004-01,1.670,
2004-04,1.752,
2004-07,2.106,
2004-10,2.185,
2005-01,2.169,
2005-04,2.195,
2005-07,2.251,
2005-10,1.564,
2006-01,1.589,
2006-04,1.577,
2006-07,1.581,
2006-10,1.299,
2007-01,1.275,
2007-04,1.222,
2007-07,1.237,
2007-10,1.229,
2008-01,1.314,
2008-04,1.731,
2008-07,1.353,
2008-10,4.231,
2009-01,4.097,
2009-04,4.114,
2009-07,3.840,
2009-10,3.777,
2010-01,3.490,
2010-04,3.215,
2010-07,3.051,
2010-10,3.834,
2011-01,3.454,
2011-04,3.209,
2011-07,3.886,
2011-10,4.620,
2012-01,4.230,
2012-04,5.640,
2012-07,5.287,
2012-10,5.901,
2013-01,5.426,
2013-04,6.936,
2013-07,6.351,
2013-10,5.697,
2014-01,5.112,
2014-04,7.460,
2014-07,6.675,
