"",BBK01.OEAP03M,BBK01.OEAP03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:55,
2002-01,15.840,
2002-04,16.031,
2002-07,14.855,
2002-10,13.871,
2003-01,13.343,
2003-04,12.614,
2003-07,12.406,
2003-10,11.824,
2004-01,10.939,
2004-04,10.444,
2004-07,10.002,
2004-10,8.951,
2005-01,8.332,
2005-04,8.030,
2005-07,7.676,
2005-10,7.622,
2006-01,6.959,
2006-04,6.110,
2006-07,5.872,
2006-10,5.352,
2007-01,4.592,
2007-04,4.505,
2007-07,4.220,
2007-10,4.078,
2008-01,3.865,
2008-04,4.043,
2008-07,4.098,
2008-10,3.767,
2009-01,3.388,
2009-04,3.361,
2009-07,3.042,
2009-10,2.567,
2010-01,2.257,
2010-04,2.572,
2010-07,2.448,
2010-10,2.133,
2011-01,1.989,
2011-04,1.764,
2011-07,1.942,
2011-10,1.959,
2012-01,2.040,
2012-04,1.896,
2012-07,1.960,
2012-10,1.761,
2013-01,1.606,
2013-04,1.442,
2013-07,1.399,
2013-10,1.622,
2014-01,1.479,
2014-04,1.209,
2014-07,1.359,
