"",BBK01.OEHJ06G,BBK01.OEHJ06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:43,
2002-01,1.203,
2002-04,1.183,
2002-07,1.144,
2002-10,1.098,
2003-01,1.096,
2003-04,1.157,
2003-07,1.132,
2003-10,1.129,
2004-01,1.113,
2004-04,1.167,
2004-07,1.223,
2004-10,1.324,
2005-01,1.407,
2005-04,1.567,
2005-07,1.539,
2005-10,1.550,
2006-01,1.607,
2006-04,1.607,
2006-07,1.668,
2006-10,1.659,
2007-01,1.583,
2007-04,1.568,
2007-07,1.526,
2007-10,1.515,
2008-01,1.663,
2008-04,1.648,
2008-07,1.645,
2008-10,1.711,
2009-01,1.645,
2009-04,1.597,
2009-07,1.689,
2009-10,1.901,
2010-01,1.754,
2010-04,1.709,
2010-07,1.749,
2010-10,1.786,
2011-01,1.519,
2011-04,1.525,
2011-07,1.481,
2011-10,1.561,
2012-01,1.466,
2012-04,1.414,
2012-07,1.407,
2012-10,1.553,
2013-01,1.506,
2013-04,1.449,
2013-07,1.452,
2013-10,1.572,
2014-01,1.533,
2014-04,1.327,
2014-07,1.310,
