"",BBFB1.Q.N.DE.FI.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:04,
1991-01,341.844,
1991-04,379.514,
1991-07,-380.376,
1991-10,114.256,
1992-01,-18.905,
1992-04,612.659,
1992-07,-731.180,
1992-10,178.641,
1993-01,412.444,
1993-04,-170.580,
1993-07,-259.971,
1993-10,-142.226,
1994-01,96.076,
1994-04,-3.836,
1994-07,532.931,
1994-10,148.984,
1995-01,36.186,
1995-04,-814.982,
1995-07,31.370,
1995-10,-246.072,
1996-01,461.389,
1996-04,-74.751,
1996-07,116.764,
1996-10,256.015,
1997-01,861.828,
1997-04,-528.946,
1997-07,8.101,
1997-10,215.107,
1998-01,2345.037,
1998-04,-1574.175,
1998-07,860.905,
1998-10,2373.387,
1999-01,-635.662,
1999-04,4243.558,
1999-07,-474.152,
1999-10,-291.113,
2000-01,2084.204,
2000-04,-770.762,
2000-07,4590.017,
2000-10,-2198.662,
2001-01,1851.843,
2001-04,21.837,
2001-07,154.473,
2001-10,170.832,
2002-01,552.583,
2002-04,658.014,
2002-07,2907.725,
2002-10,-715.846,
2003-01,1725.660,
2003-04,1177.857,
2003-07,133.014,
2003-10,-1733.104,
2004-01,335.130,
2004-04,1919.426,
2004-07,453.024,
2004-10,682.432,
2005-01,-1270.471,
2005-04,889.111,
2005-07,1049.769,
2005-10,-447.721,
2006-01,2335.700,
2006-04,491.765,
2006-07,945.321,
2006-10,407.011,
2007-01,-3144.640,
2007-04,283.216,
2007-07,-1476.493,
2007-10,-1340.788,
2008-01,-67.932,
2008-04,1829.245,
2008-07,-2180.001,
2008-10,-2225.167,
2009-01,71.042,
2009-04,749.510,
2009-07,-873.235,
2009-10,2157.152,
2010-01,1942.825,
2010-04,729.717,
2010-07,-580.566,
2010-10,4761.435,
2011-01,2886.355,
2011-04,2549.642,
2011-07,-20.197,
2011-10,656.755,
2012-01,7453.656,
2012-04,1218.903,
2012-07,4994.671,
2012-10,-189.250,
2013-01,-549.432,
2013-04,1050.053,
2013-07,2330.545,
2013-10,2549.844,
2014-01,4236.393,Provisional value
2014-04,3075.302,Provisional value
2014-07,-88.947,Provisional value
2014-10,-2174.572,Provisional value
