"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.D.F512._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.D.F512._Z._T._X.N_FLAGS
"",IIP - Direct investment - Unlisted shares - Assets - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:16,
1999-10,169105,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,221015,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,269581,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,260044,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,268800,
2004-01,268994,
2004-04,273274,
2004-07,273511,
2004-10,279407,
2005-01,288047,
2005-04,301683,
2005-07,308538,
2005-10,328608,
2006-01,334723,
2006-04,335355,
2006-07,353836,
2006-10,370046,
2007-01,386689,
2007-04,401738,
2007-07,403981,
2007-10,418190,
2008-01,410589,
2008-04,414292,
2008-07,419894,
2008-10,398462,
2009-01,403157,
2009-04,412013,
2009-07,416988,
2009-10,421454,
2010-01,441809,
2010-04,462070,
2010-07,453383,
2010-10,464486,
2011-01,465098,
2011-04,472725,
2011-07,483147,
2011-10,493558,
2012-01,503379,
2012-04,512459,
2012-07,518158,
2012-10,518436,
2013-01,527297,
2013-04,518503,
2013-07,523062,
2013-10,522989,
2014-01,532243,
2014-04,545197,
2014-07,563699,
