"",BBK01.OEAN04O,BBK01.OEAN04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:06,
2002-01,-6.063,
2002-04,-6.371,
2002-07,-6.601,
2002-10,-9.111,
2003-01,-10.293,
2003-04,-10.609,
2003-07,-11.202,
2003-10,-13.108,
2004-01,-14.198,
2004-04,-14.603,
2004-07,-14.700,
2004-10,-15.198,
2005-01,19.313,
2005-04,19.209,
2005-07,19.159,
2005-10,19.110,
2006-01,18.630,
2006-04,18.395,
2006-07,18.046,
2006-10,17.778,
2007-01,17.162,
2007-04,16.791,
2007-07,16.171,
2007-10,15.480,
2008-01,15.250,
2008-04,15.121,
2008-07,14.791,
2008-10,14.602,
2009-01,14.852,
2009-04,15.385,
2009-07,15.829,
2009-10,16.091,
2010-01,16.568,
2010-04,16.821,
2010-07,17.246,
2010-10,17.777,
2011-01,18.023,
2011-04,18.081,
2011-07,18.053,
2011-10,18.398,
2012-01,18.335,
2012-04,17.974,
2012-07,17.579,
2012-10,17.328,
2013-01,16.621,
2013-04,16.472,
2013-07,16.320,
2013-10,16.365,
2014-01,15.983,
2014-04,15.643,
2014-07,15.339,
