"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.ES.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.ES.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Spain,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:27,
2009-09,44068,
2009-10,44301,
2009-11,44633,
2009-12,44233,
2010-01,44281,
2010-02,44066,
2010-03,44610,
2010-04,41889,
2010-05,39099,
2010-06,37703,
2010-07,38852,
2010-08,39714,
2010-09,40231,
2010-10,41157,
2010-11,37812,
2010-12,36918,
2011-01,37713,
2011-02,38877,
2011-03,39737,
2011-04,39804,
2011-05,38908,
2011-06,38105,
2011-07,36843,
2011-08,35818,
2011-09,35223,
2011-10,35290,
2011-11,33245,
2011-12,33858,
2012-01,34004,
2012-02,34887,
2012-03,34401,
2012-04,32316,
2012-05,29639,
2012-06,28052,
2012-07,27289,
2012-08,27289,
2012-09,28308,
2012-10,29899,
2012-11,31421,
2012-12,32738,
2013-01,35699,
2013-02,35889,
2013-03,36464,
2013-04,38267,
2013-05,38632,
2013-06,37841,
2013-07,38030,
2013-08,38244,
2013-09,38314,
2013-10,38279,
2013-11,38764,
2013-12,38608,
2014-01,39914,
2014-02,40278,
2014-03,41449,
2014-04,42056,
2014-05,42830,
2014-06,42203,
2014-07,42660,
2014-08,43267,
2014-09,43329,
2014-10,42884,
2014-11,43965,
