"",BBFI1.Q.N.DE.W1.S121.S1.K7.A.FA.P.F3.S._T.M.N,BBFI1.Q.N.DE.W1.S121.S1.K7.A.FA.P.F3.S._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Short-term original maturity (up to 1 year incl. incl.) - Assets - Revaluations - resident holder: Central bank - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:02:35,
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
