"",BBK01.OEXI03H,BBK01.OEXI03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:41,
2002-01,7.712,
2002-04,7.579,
2002-07,7.893,
2002-10,7.656,
2003-01,7.063,
2003-04,6.786,
2003-07,6.081,
2003-10,6.666,
2004-01,5.574,
2004-04,5.219,
2004-07,5.401,
2004-10,5.843,
2005-01,5.499,
2005-04,5.372,
2005-07,5.811,
2005-10,6.865,
2006-01,6.176,
2006-04,6.077,
2006-07,6.708,
2006-10,8.180,
2007-01,8.435,
2007-04,8.671,
2007-07,9.658,
2007-10,10.310,
2008-01,10.258,
2008-04,10.844,
2008-07,11.725,
2008-10,12.669,
2009-01,12.310,
2009-04,11.544,
2009-07,10.198,
2009-10,8.843,
2010-01,7.020,
2010-04,7.113,
2010-07,7.648,
2010-10,7.966,
2011-01,7.467,
2011-04,9.148,
2011-07,18.406,
2011-10,17.700,
2012-01,16.713,
2012-04,16.264,
2012-07,16.892,
2012-10,18.502,
2013-01,18.147,
2013-04,17.828,
2013-07,18.288,
2013-10,19.956,
2014-01,21.302,
2014-04,21.126,
2014-07,21.452,
