"",BBFN1.M.DE.N.1.A.KE.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KE.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Kenya,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:45,
1994-12,0.097,
1995-01,0.100,
1995-02,0.104,
1995-03,0.114,
1995-04,0.117,
1995-05,0.118,
1995-06,0.112,
1995-07,0.107,
1995-08,0.105,
1995-09,0.101,
1995-10,0.101,
1995-11,0.108,
1995-12,0.120,
1996-01,0.120,
1996-02,0.115,
1996-03,0.123,
1996-04,0.115,
1996-05,0.114,
1996-06,0.116,
1996-07,0.118,
1996-08,0.112,
1996-09,0.102,
1996-10,0.100,
1996-11,0.105,
1996-12,0.115,
1997-01,0.109,
1997-02,0.092,
1997-03,0.101,
1997-04,0.100,
1997-05,0.103,
1997-06,0.101,
1997-07,0.110,
1997-08,0.100,
1997-09,0.099,
1997-10,0.099,
1997-11,0.096,
1997-12,0.091,
1998-01,0.090,
1998-02,0.092,
1998-03,0.090,
1998-04,0.097,
1998-05,0.096,
1998-06,0.086,
1998-07,0.085,
1998-08,0.088,
1998-09,0.106,
1998-10,0.097,
1998-11,0.097,
1998-12,0.093,
1999-01,0.099,
1999-02,0.102,
1999-03,0.102,
1999-04,0.100,
1999-05,0.098,
1999-06,0.098,
1999-07,0.098,
1999-08,0.099,
1999-09,0.099,
1999-10,0.099,
1999-11,0.097,
1999-12,0.100,
2000-01,0.105,
2000-02,0.105,
2000-03,0.104,
2000-04,0.113,
2000-05,0.109,
2000-06,0.114,
2000-07,0.115,
2000-08,0.119,
2000-09,0.109,
2000-10,0.110,
2000-11,0.115,
2000-12,0.123,
2001-01,0.120,
2001-02,0.120,
2001-03,0.125,
2001-04,0.127,
2001-05,0.136,
2001-06,0.130,
2001-07,0.133,
2001-08,0.128,
2001-09,0.125,
2001-10,0.129,
2001-11,0.118,
2001-12,0.116,
2002-01,0.122,
2002-02,0.115,
2002-03,0.117,
2002-04,0.118,
2002-05,0.124,
2002-06,0.119,
2002-07,0.112,
2002-08,0.116,
2002-09,0.118,
2002-10,0.126,
2002-11,0.131,
2002-12,0.125,
2003-01,0.120,
2003-02,0.114,
2003-03,0.111,
2003-04,0.112,
2003-05,0.108,
2003-06,0.104,
2003-07,0.105,
2003-08,0.106,
2003-09,0.122,
2003-10,0.122,
2003-11,0.121,
2003-12,0.118,
2004-01,0.118,
2004-02,0.115,
2004-03,0.115,
2004-04,0.118,
2004-05,0.125,
2004-06,0.124,
2004-07,0.128,
2004-08,0.123,
2004-09,0.120,
2004-10,0.116,
2004-11,0.120,
2004-12,0.110,
2005-01,0.113,
2005-02,0.113,
2005-03,0.119,
2005-04,0.122,
2005-05,0.124,
2005-06,0.122,
2005-07,0.126,
2005-08,0.120,
2005-09,0.124,
2005-10,0.120,
2005-11,0.122,
2005-12,0.106,
2006-01,0.115,
2006-02,0.120,
2006-03,0.130,
2006-04,0.125,
2006-05,0.130,
2006-06,0.125,
2006-07,0.124,
2006-08,0.119,
2006-09,0.126,
2006-10,0.123,
2006-11,0.136,
2006-12,0.133,
2007-01,0.135,
2007-02,0.130,
2007-03,0.121,
2007-04,0.124,
2007-05,0.128,
2007-06,0.130,
2007-07,0.129,
2007-08,0.136,
2007-09,0.134,
2007-10,0.134,
2007-11,0.135,
2007-12,0.136,
2008-01,0.130,
2008-02,0.122,
2008-03,0.117,
2008-04,0.115,
2008-05,0.112,
2008-06,0.123,
2008-07,0.139,
2008-08,0.146,
2008-09,0.154,
2008-10,0.171,
2008-11,0.171,
2008-12,0.159,
2009-01,0.172,
2009-02,0.167,
2009-03,0.242,
2009-04,0.246,
2009-05,0.243,
2009-06,0.245,
2009-07,0.255,
2009-08,0.257,
2009-09,0.261,
2009-10,0.262,
2009-11,0.269,
2009-12,0.273,
2010-01,0.281,
2010-02,0.278,
2010-03,0.278,
2010-04,0.276,
2010-05,0.273,
2010-06,0.276,
2010-07,0.297,
2010-08,0.295,
2010-09,0.289,
2010-10,0.282,
2010-11,0.278,
2010-12,0.268,
2011-01,0.274,
2011-02,0.275,
2011-03,0.278,
2011-04,0.279,
2011-05,0.290,
2011-06,0.268,
2011-07,0.270,
2011-08,0.268,
2011-09,0.254,
2011-10,0.265,
2011-11,0.270,
2011-12,0.275,
2012-01,0.277,
2012-02,0.282,
2012-03,0.280,
2012-04,0.289,
2012-05,0.287,
2012-06,0.282,
2012-07,0.287,
2012-08,0.290,
2012-09,0.301,
2012-10,0.299,
2012-11,0.294,
2012-12,0.284,
2013-01,0.272,
2013-02,0.280,
2013-03,0.279,
2013-04,0.278,
2013-05,0.275,
2013-06,0.283,
2013-07,0.278,
2013-08,0.289,
2013-09,0.295,
2013-10,0.291,
2013-11,0.291,
2013-12,0.267,
2014-01,0.259,
2014-02,0.253,
2014-03,0.249,
2014-04,0.250,
2014-05,0.250,
2014-06,0.253,
2014-07,0.229,
2014-08,0.218,
2014-09,0.270,
2014-10,0.277,
2014-11,0.278,
2014-12,0.305,
