"",BBK01.OEAJ08N,BBK01.OEAJ08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:46,
2002-01,0.667,
2002-04,0.669,
2002-07,0.673,
2002-10,0.649,
2003-01,0.686,
2003-04,0.784,
2003-07,0.801,
2003-10,0.774,
2004-01,0.819,
2004-04,0.826,
2004-07,0.867,
2004-10,0.816,
2005-01,0.860,
2005-04,0.732,
2005-07,0.806,
2005-10,0.773,
2006-01,0.769,
2006-04,0.767,
2006-07,0.723,
2006-10,0.670,
2007-01,0.678,
2007-04,0.689,
2007-07,0.715,
2007-10,0.699,
2008-01,0.716,
2008-04,0.729,
2008-07,0.768,
2008-10,0.761,
2009-01,0.870,
2009-04,0.921,
2009-07,1.042,
2009-10,1.041,
2010-01,1.276,
2010-04,1.377,
2010-07,1.425,
2010-10,1.470,
2011-01,1.464,
2011-04,1.434,
2011-07,1.422,
2011-10,1.204,
2012-01,1.240,
2012-04,1.278,
2012-07,1.432,
2012-10,1.451,
2013-01,1.497,
2013-04,1.523,
2013-07,1.597,
2013-10,1.493,
2014-01,1.493,
2014-04,1.473,
2014-07,1.487,
