"",BBK01.OELB16R,BBK01.OELB16R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:10,
2002-01,0.458,
2002-04,0.465,
2002-07,0.466,
2002-10,0.464,
2003-01,0.459,
2003-04,0.461,
2003-07,0.450,
2003-10,0.450,
2004-01,0.439,
2004-04,0.445,
2004-07,0.472,
2004-10,0.441,
2005-01,0.430,
2005-04,0.430,
2005-07,0.424,
2005-10,0.422,
2006-01,0.419,
2006-04,0.422,
2006-07,0.423,
2006-10,0.421,
2007-01,0.416,
2007-04,0.418,
2007-07,0.420,
2007-10,0.421,
2008-01,0.420,
2008-04,0.426,
2008-07,0.428,
2008-10,0.433,
2009-01,0.437,
2009-04,0.442,
2009-07,0.430,
2009-10,0.444,
2010-01,0.447,
2010-04,0.447,
2010-07,0.452,
2010-10,0.459,
2011-01,0.458,
2011-04,0.466,
2011-07,0.480,
2011-10,0.501,
2012-01,0.504,
2012-04,0.879,
2012-07,0.887,
2012-10,0.881,
2013-01,0.887,
2013-04,0.899,
2013-07,0.904,
2013-10,0.913,
2014-01,0.923,
2014-04,0.930,
2014-07,0.940,
