"",BBK01.OUN335,BBK01.OUN335_FLAGS
"",Deposits and borrowing from foreign general government / Total / Special purpose banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:28:02,
1999-01,1.116,
1999-02,2.452,
1999-03,5.719,
1999-04,5.854,
1999-05,6.381,
1999-06,6.761,
1999-07,5.808,
1999-08,5.483,
1999-09,6.247,
1999-10,6.407,
1999-11,6.427,
1999-12,7.056,
2000-01,6.584,
2000-02,6.344,
2000-03,6.718,
2000-04,6.947,
2000-05,7.629,
2000-06,7.551,
2000-07,7.571,
2000-08,7.976,
2000-09,7.419,
2000-10,7.289,
2000-11,7.226,
2000-12,6.956,
2001-01,6.637,
2001-02,6.660,
2001-03,7.121,
2001-04,7.054,
2001-05,6.877,
2001-06,7.013,
2001-07,7.448,
2001-08,6.965,
2001-09,7.561,
2001-10,7.202,
2001-11,6.836,
2001-12,7.324,
2002-01,8.111,
2002-02,7.981,
2002-03,6.521,
2002-04,6.789,
2002-05,6.913,
2002-06,6.837,
2002-07,6.510,
2002-08,6.350,
2002-09,6.179,
2002-10,6.379,
2002-11,6.972,
2002-12,6.692,
2003-01,6.955,
2003-02,7.963,
2003-03,7.657,
2003-04,7.780,
2003-05,7.063,
2003-06,6.824,
2003-07,6.429,
2003-08,6.261,
2003-09,6.258,
2003-10,8.020,
2003-11,8.834,
2003-12,8.680,
2004-01,6.516,
2004-02,6.443,
2004-03,8.067,
2004-04,7.515,
2004-05,7.442,
2004-06,8.975,
2004-07,9.212,
2004-08,9.451,
2004-09,7.642,
2004-10,8.791,
2004-11,10.125,
2004-12,9.150,
2005-01,9.530,
2005-02,8.495,
2005-03,8.486,
2005-04,8.446,
2005-05,9.339,
2005-06,9.436,
2005-07,9.398,
2005-08,9.068,
2005-09,9.539,
2005-10,7.720,
2005-11,9.637,
2005-12,9.198,
2006-01,8.840,
2006-02,9.624,
2006-03,8.930,
2006-04,8.757,
2006-05,8.592,
2006-06,8.764,
2006-07,8.302,
2006-08,8.547,
2006-09,8.270,
2006-10,8.513,
2006-11,8.237,
2006-12,9.061,
2007-01,9.401,
2007-02,9.275,
2007-03,9.270,
2007-04,9.400,
2007-05,9.568,
2007-06,9.692,
2007-07,8.971,
2007-08,9.185,
2007-09,9.841,
2007-10,9.007,
2007-11,10.001,
2007-12,10.037,
2008-01,9.595,
2008-02,10.253,
2008-03,10.262,
2008-04,8.934,
2008-05,8.657,
2008-06,7.918,
2008-07,9.529,
2008-08,11.600,
2008-09,12.184,
2008-10,12.857,
2008-11,12.409,
2008-12,0.117,
2009-01,0.076,
2009-02,0.049,
2009-03,0.052,
2009-04,0.047,
2009-05,0.042,
2009-06,0.841,
2009-07,0.044,
2009-08,0.042,
2009-09,0.040,
2009-10,0.039,
2009-11,0.038,
2009-12,0.065,
2010-01,0.065,
2010-02,0.128,
2010-03,0.135,
2010-04,0.135,
2010-05,0.130,
2010-06,0.189,
2010-07,0.190,
2010-08,0.322,
2010-09,0.323,
2010-10,0.325,
2010-11,0.570,
2010-12,0.210,
2011-01,0.350,
2011-02,0.225,
2011-03,0.216,
2011-04,0.221,
2011-05,0.221,
2011-06,0.211,
2011-07,0.414,
2011-08,0.672,
2011-09,0.704,
2011-10,0.224,
2011-11,0.723,
2011-12,0.581,
2012-01,0.769,
2012-02,0.236,
2012-03,0.127,
2012-04,0.126,
2012-05,0.525,
2012-06,0.731,
2012-07,0.229,
2012-08,0.233,
2012-09,0.171,
2012-10,0.528,
2012-11,0.151,
2012-12,0.202,
2013-01,0.167,
2013-02,0.176,
2013-03,0.205,
2013-04,0.212,
2013-05,0.194,
2013-06,0.218,
2013-07,0.720,
2013-08,0.243,
2013-09,0.662,
2013-10,0.210,
2013-11,0.211,
2013-12,0.503,
2014-01,0.561,
2014-02,0.721,
2014-03,0.557,
2014-04,0.275,
2014-05,0.781,
2014-06,1.368,
2014-07,0.700,
2014-08,0.298,
2014-09,0.801,
2014-10,0.308,
2014-11,0.453,
2014-12,0.367,Provisional value
