"",BBDA1.M.DE.N.IM.S.GP09I029.W1.A.V.ABA.A,BBDA1.M.DE.N.IM.S.GP09I029.W1.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / 29 Motor vehicles, trailers and semi-trailers / Rest of the World / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:59,
2008-01,6178976,
2008-02,6707383,
2008-03,6928253,
2008-04,7371503,
2008-05,6766101,
2008-06,7048903,
2008-07,6383871,
2008-08,5043921,
2008-09,6902025,
2008-10,6298884,
2008-11,5576643,
2008-12,4273736,
2009-01,4239176,
2009-02,4686475,
2009-03,6715726,
2009-04,5847383,
2009-05,5435816,
2009-06,6007144,
2009-07,5510229,
2009-08,4193407,
2009-09,6083919,
2009-10,5960263,
2009-11,5377908,
2009-12,4608353,
2010-01,4277985,
2010-02,4810797,
2010-03,6268267,
2010-04,5697349,
2010-05,5852317,
2010-06,6519631,
2010-07,5809160,
2010-08,4774163,
2010-09,6685916,
2010-10,6876968,
2010-11,6798405,
2010-12,5841211,
2011-01,5790971,
2011-02,6489434,
2011-03,7897932,
2011-04,6761795,
2011-05,7391280,
2011-06,7206572,
2011-07,6623580,
2011-08,5529719,
2011-09,7503731,
2011-10,7192739,
2011-11,7409290,
2011-12,6128306,
2012-01,6220268,
2012-02,7184405,
2012-03,8150482,
2012-04,6771932,
2012-05,7242025,
2012-06,7584452,
2012-07,6810275,
2012-08,5780437,
2012-09,6814238,
2012-10,7556556,
2012-11,7035118,
2012-12,5303993,
2013-01,5987964,
2013-02,6456237,
2013-03,7078714,
2013-04,7330948,
2013-05,6844008,
2013-06,7037317,
2013-07,6786554,
2013-08,5479536,
2013-09,6882295,
2013-10,7859349,
2013-11,7289077,
2013-12,6017853,
2014-01,6588712,
2014-02,7501705,
2014-03,8007219,
2014-04,7734951,
2014-05,7844085,
2014-06,7808403,
2014-07,7994111,
2014-08,5521208,
2014-09,8060972,
2014-10,8434296,
2014-11,7927052,
2014-12,6984124,
