"",BBK01.OEHM09M,BBK01.OEHM09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:16,
2002-01,0.021,
2002-04,0.020,
2002-07,0.017,
2002-10,0.017,
2003-01,0.018,
2003-04,0.014,
2003-07,0.013,
2003-10,0.013,
2004-01,0.017,
2004-04,0.017,
2004-07,0.019,
2004-10,0.013,
2005-01,0.017,
2005-04,0.020,
2005-07,0.020,
2005-10,0.019,
2006-01,0.021,
2006-04,0.021,
2006-07,0.020,
2006-10,0.020,
2007-01,0.028,
2007-04,0.033,
2007-07,0.034,
2007-10,0.035,
2008-01,0.025,
2008-04,0.023,
2008-07,0.019,
2008-10,0.021,
2009-01,0.021,
2009-04,0.025,
2009-07,0.023,
2009-10,0.021,
2010-01,0.016,
2010-04,0.011,
2010-07,0.009,
2010-10,0.006,
2011-01,0.027,
2011-04,0.028,
2011-07,0.028,
2011-10,0.028,
2012-01,0.022,
2012-04,0.032,
2012-07,0.035,
2012-10,0.034,
2013-01,0.035,
2013-04,0.022,
2013-07,0.022,
2013-10,0.021,
2014-01,0.025,
2014-04,0.024,
2014-07,0.024,
