"",BBK01.OEHB09S,BBK01.OEHB09S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:12,
2002-01,1.099,
2002-04,1.090,
2002-07,1.087,
2002-10,1.090,
2003-01,1.075,
2003-04,1.087,
2003-07,1.079,
2003-10,1.054,
2004-01,1.052,
2004-04,1.039,
2004-07,1.053,
2004-10,1.005,
2005-01,1.038,
2005-04,1.050,
2005-07,1.040,
2005-10,1.044,
2006-01,1.048,
2006-04,1.049,
2006-07,1.045,
2006-10,1.047,
2007-01,1.060,
2007-04,1.052,
2007-07,1.054,
2007-10,1.048,
2008-01,1.056,
2008-04,1.089,
2008-07,1.139,
2008-10,1.160,
2009-01,1.178,
2009-04,1.255,
2009-07,1.326,
2009-10,1.329,
2010-01,1.358,
2010-04,1.410,
2010-07,1.426,
2010-10,1.486,
2011-01,1.488,
2011-04,1.642,
2011-07,1.653,
2011-10,1.707,
2012-01,1.750,
2012-04,1.806,
2012-07,1.931,
2012-10,1.994,
2013-01,2.030,
2013-04,2.080,
2013-07,2.113,
2013-10,2.147,
2014-01,2.204,
2014-04,2.241,
2014-07,2.241,
