"",BBK01.OECO06R,BBK01.OECO06R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:16,
2002-01,0.228,
2002-04,0.171,
2002-07,0.172,
2002-10,0.186,
2003-01,0.184,
2003-04,0.176,
2003-07,0.183,
2003-10,0.181,
2004-01,0.172,
2004-04,0.166,
2004-07,0.190,
2004-10,0.317,
2005-01,0.882,
2005-04,0.873,
2005-07,0.868,
2005-10,0.870,
2006-01,0.863,
2006-04,0.846,
2006-07,0.833,
2006-10,0.825,
2007-01,0.823,
2007-04,0.807,
2007-07,0.794,
2007-10,0.805,
2008-01,0.795,
2008-04,0.810,
2008-07,0.791,
2008-10,0.790,
2009-01,0.809,
2009-04,0.823,
2009-07,0.859,
2009-10,0.887,
2010-01,0.899,
2010-04,0.898,
2010-07,0.909,
2010-10,0.920,
2011-01,0.911,
2011-04,0.895,
2011-07,0.888,
2011-10,0.896,
2012-01,0.958,
2012-04,0.939,
2012-07,0.949,
2012-10,0.973,
2013-01,0.969,
2013-04,0.960,
2013-07,0.956,
2013-10,0.961,
2014-01,0.955,
2014-04,0.945,
2014-07,0.966,
