"",BBFB1.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net portfolio investment / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:30,
1991-01,-2090.825,
1991-02,-4444.566,
1991-03,8152.753,
1991-04,1159.941,
1991-05,-1640.025,
1991-06,-13.896,
1991-07,-3292.100,
1991-08,-3933.797,
1991-09,-2398.097,
1991-10,-5739.049,
1991-11,-3176.495,
1991-12,-3287.576,
1992-01,-5659.369,
1992-02,5433.805,
1992-03,5845.954,
1992-04,3058.740,
1992-05,-1541.762,
1992-06,4299.454,
1992-07,-2421.549,
1992-08,-2983.931,
1992-09,-17304.145,
1992-10,-4898.554,
1992-11,1897.196,
1992-12,-9431.965,
1993-01,-8066.686,
1993-02,-3632.543,
1993-03,-7473.259,
1993-04,-2224.621,
1993-05,-6089.817,
1993-06,-13943.170,
1993-07,-10978.316,
1993-08,2189.789,
1993-09,-9644.370,
1993-10,-10098.641,
1993-11,-9737.961,
1993-12,-22373.249,
1994-01,-10211.310,
1994-02,10205.608,
1994-03,14040.721,
1994-04,5160.523,
1994-05,3134.535,
1994-06,2317.135,
1994-07,-1468.133,
1994-08,1961.770,
1994-09,2470.681,
1994-10,-2582.303,
1994-11,-6631.093,
1994-12,8195.670,
1995-01,-1581.452,
1995-02,3909.301,
1995-03,-2998.070,
1995-04,-1129.635,
1995-05,-4826.257,
1995-06,-7336.262,
1995-07,-2028.407,
1995-08,-6026.560,
1995-09,970.457,
1995-10,68.089,
1995-11,-7064.297,
1995-12,2685.563,
1996-01,-9493.585,
1996-02,-1339.296,
1996-03,4380.259,
1996-04,4859.512,
1996-05,-7469.778,
1996-06,-8357.213,
1996-07,-4984.078,
1996-08,-10188.163,
1996-09,-3147.112,
1996-10,-388.560,
1996-11,-13503.359,
1996-12,1052.009,
1997-01,-8696.484,
1997-02,2220.049,
1997-03,4347.243,
1997-04,6356.275,
1997-05,4514.783,
1997-06,-3682.277,
1997-07,564.650,
1997-08,2275.367,
1997-09,-5265.033,
1997-10,7986.178,
1997-11,-3271.311,
1997-12,-8384.699,
1998-01,-4814.890,
1998-02,3796.304,
1998-03,17880.907,
1998-04,3076.579,
1998-05,5950.556,
1998-06,-7257.479,
1998-07,-13763.633,
1998-08,-14468.704,
1998-09,797.556,
1998-10,21631.081,
1998-11,-23904.790,
1998-12,6489.711,
1999-01,3783.616,
1999-02,4928.300,
1999-03,28700.424,
1999-04,-6712.500,
1999-05,9580.442,
1999-06,-14853.391,
1999-07,-1135.049,
1999-08,-10622.510,
1999-09,-5114.419,
1999-10,1217.174,
1999-11,-12126.405,
1999-12,11647.730,
2000-01,19771.881,
2000-02,139349.416,
2000-03,15306.232,
2000-04,-5659.432,
2000-05,-4796.803,
2000-06,-39978.092,
2000-07,3727.522,
2000-08,14739.478,
2000-09,7626.159,
2000-10,39.156,
2000-11,9009.999,
2000-12,-6689.039,
2001-01,27085.206,
2001-02,10015.908,
2001-03,3439.010,
2001-04,24788.638,
2001-05,-32962.200,
2001-06,-28487.840,
2001-07,-5476.375,
2001-08,-12982.169,
2001-09,-18545.297,
2001-10,-11876.846,
2001-11,-16017.574,
2001-12,28822.642,
2002-01,2214.096,
2002-02,7959.776,
2002-03,-8928.116,
2002-04,2862.267,
2002-05,-6302.127,
2002-06,-33344.934,
2002-07,-9948.747,
2002-08,-13188.344,
2002-09,-13150.109,
2002-10,2192.542,
2002-11,-8576.709,
2002-12,11265.413,
2003-01,-6154.844,
2003-02,-9429.262,
2003-03,-18004.032,
2003-04,-8173.416,
2003-05,3060.891,
2003-06,-832.384,
2003-07,-378.345,
2003-08,2057.591,
2003-09,616.715,
2003-10,-23506.176,
2003-11,-567.963,
2003-12,6920.093,
2004-01,-16671.003,
2004-02,-1780.229,
2004-03,7180.582,
2004-04,8324.954,
2004-05,11291.452,
2004-06,8476.500,
2004-07,-15872.143,
2004-08,-13531.611,
2004-09,-2089.969,
2004-10,-5335.739,
2004-11,-6851.549,
2004-12,11801.048,
2005-01,-6148.985,
2005-02,7755.839,
2005-03,10834.564,
2005-04,34280.177,
2005-05,-9338.508,
2005-06,-40619.665,
2005-07,-18645.299,
2005-08,14231.616,
2005-09,-4999.035,
2005-10,-1847.759,
2005-11,29328.119,
2005-12,15033.881,
2006-01,17042.029,
2006-02,2881.618,
2006-03,-12940.002,
2006-04,31667.380,
2006-05,3849.640,
2006-06,-14556.789,
2006-07,-16095.591,
2006-08,-3069.666,
2006-09,15622.610,
2006-10,-8930.035,
2006-11,8087.242,
2006-12,-5230.451,
2007-01,4075.883,
2007-02,3260.713,
2007-03,-4273.398,
2007-04,9791.643,
2007-05,-557.371,
2007-06,-54527.414,
2007-07,-19460.249,
2007-08,-22237.173,
2007-09,-3920.453,
2007-10,-19611.315,
2007-11,-37136.117,
2007-12,-9228.632,
2008-01,-9293.965,
2008-02,11827.699,
2008-03,15392.396,
2008-04,29857.208,
2008-05,3498.051,
2008-06,-32523.766,
2008-07,-8149.902,
2008-08,-13690.198,
2008-09,-10033.025,
2008-10,-20707.719,
2008-11,-17994.071,
2008-12,19883.866,
2009-01,29810.362,
2009-02,-4341.482,
2009-03,9872.599,
2009-04,15110.262,
2009-05,-29958.436,
2009-06,11503.964,
2009-07,33944.543,
2009-08,-19083.035,
2009-09,10005.631,
2009-10,14395.831,
2009-11,5013.812,
2009-12,9162.798,
2010-01,15495.892,
2010-02,-14552.118,
2010-03,8055.826,
2010-04,7851.577,
2010-05,-29799.195,
2010-06,22918.124,
2010-07,4638.617,
2010-08,-9436.296,
2010-09,-5410.800,
2010-10,112672.643,
2010-11,-32479.927,
2010-12,32880.989,
2011-01,4749.336,
2011-02,-28393.348,
2011-03,9860.212,
2011-04,16304.087,
2011-05,-40997.815,
2011-06,-4130.357,
2011-07,-384.647,
2011-08,-37860.159,
2011-09,6590.467,
2011-10,20068.688,
2011-11,-4775.037,
2011-12,31014.472,
2012-01,42745.265,
2012-02,-36443.653,
2012-03,20210.725,
2012-04,11832.639,
2012-05,-30326.771,
2012-06,-8379.367,
2012-07,9553.984,
2012-08,1005.903,
2012-09,18050.756,
2012-10,8029.583,
2012-11,-12239.400,
2012-12,40698.643,
2013-01,27171.391,
2013-02,-16475.348,
2013-03,29695.124,
2013-04,35599.260,
2013-05,-5676.950,
2013-06,22404.070,
2013-07,34073.303,
2013-08,4229.539,
2013-09,61.798,
2013-10,10234.216,
2013-11,-2393.867,
2013-12,26146.650,
2014-01,4736.984,
2014-02,-15974.015,
2014-03,42403.836,
2014-04,47415.944,
2014-05,-30025.937,
2014-06,5307.043,
2014-07,17639.117,
2014-08,-22384.998,
2014-09,27950.177,
2014-10,8632.467,
2014-11,11444.310,
2014-12,24945.121,Provisional value
