"",BBK01.OEAC14G,BBK01.OEAC14G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:02,
2002-01,60.558,
2002-04,61.696,
2002-07,60.681,
2002-10,60.439,
2003-01,59.148,
2003-04,58.499,
2003-07,58.284,
2003-10,58.071,
2004-01,57.355,
2004-04,57.160,
2004-07,56.777,
2004-10,56.612,
2005-01,56.258,
2005-04,56.000,
2005-07,55.800,
2005-10,56.149,
2006-01,55.407,
2006-04,55.455,
2006-07,54.766,
2006-10,53.904,
2007-01,53.453,
2007-04,53.491,
2007-07,53.587,
2007-10,53.921,
2008-01,53.731,
2008-04,54.231,
2008-07,54.382,
2008-10,54.593,
2009-01,54.502,
2009-04,55.551,
2009-07,55.510,
2009-10,55.364,
2010-01,55.344,
2010-04,55.897,
2010-07,55.998,
2010-10,55.944,
2011-01,56.061,
2011-04,56.292,
2011-07,56.300,
2011-10,56.158,
2012-01,55.853,
2012-04,58.219,
2012-07,58.625,
2012-10,58.430,
2013-01,58.186,
2013-04,58.531,
2013-07,58.205,
2013-10,57.889,
2014-01,57.774,
2014-04,57.864,
2014-07,57.994,
