"",BBK01.OEAI09H,BBK01.OEAI09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:57,
2002-01,19.389,
2002-04,19.085,
2002-07,18.807,
2002-10,18.535,
2003-01,17.285,
2003-04,16.180,
2003-07,15.312,
2003-10,15.807,
2004-01,15.351,
2004-04,15.129,
2004-07,15.447,
2004-10,16.213,
2005-01,16.519,
2005-04,16.323,
2005-07,15.656,
2005-10,15.686,
2006-01,15.550,
2006-04,15.828,
2006-07,16.301,
2006-10,17.323,
2007-01,17.756,
2007-04,17.792,
2007-07,17.902,
2007-10,18.444,
2008-01,17.725,
2008-04,16.748,
2008-07,15.878,
2008-10,16.651,
2009-01,17.767,
2009-04,19.086,
2009-07,20.377,
2009-10,21.260,
2010-01,20.508,
2010-04,19.009,
2010-07,17.600,
2010-10,17.382,
2011-01,17.382,
2011-04,17.665,
2011-07,17.540,
2011-10,17.004,
2012-01,15.904,
2012-04,15.089,
2012-07,14.316,
2012-10,13.807,
2013-01,13.273,
2013-04,12.420,
2013-07,11.960,
2013-10,12.371,
2014-01,12.721,
2014-04,12.949,
2014-07,13.336,
