"",BBK01.OEHI09L,BBK01.OEHI09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:16,
2002-01,5.174,
2002-04,4.936,
2002-07,4.945,
2002-10,4.884,
2003-01,4.596,
2003-04,4.297,
2003-07,4.177,
2003-10,4.270,
2004-01,4.067,
2004-04,3.807,
2004-07,3.709,
2004-10,3.995,
2005-01,4.099,
2005-04,4.010,
2005-07,3.956,
2005-10,3.971,
2006-01,3.920,
2006-04,4.076,
2006-07,4.396,
2006-10,4.946,
2007-01,5.193,
2007-04,5.145,
2007-07,5.002,
2007-10,4.930,
2008-01,4.461,
2008-04,4.102,
2008-07,4.045,
2008-10,4.163,
2009-01,4.119,
2009-04,4.356,
2009-07,4.559,
2009-10,5.023,
2010-01,5.075,
2010-04,4.641,
2010-07,4.121,
2010-10,3.773,
2011-01,3.491,
2011-04,3.425,
2011-07,3.326,
2011-10,3.285,
2012-01,3.202,
2012-04,3.016,
2012-07,2.673,
2012-10,2.480,
2013-01,2.258,
2013-04,2.076,
2013-07,1.944,
2013-10,2.102,
2014-01,2.254,
2014-04,2.336,
2014-07,2.242,
