"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.IT.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.IT.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Italy,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:09,
2009-09,5061,
2009-10,4831,
2009-11,4679,
2009-12,4822,
2010-01,4578,
2010-02,4366,
2010-03,4787,
2010-04,4504,
2010-05,4042,
2010-06,3926,
2010-07,4206,
2010-08,4042,
2010-09,4254,
2010-10,4383,
2010-11,3891,
2010-12,4041,
2011-01,4553,
2011-02,4737,
2011-03,4602,
2011-04,4783,
2011-05,4442,
2011-06,4393,
2011-07,4035,
2011-08,3333,
2011-09,3134,
2011-10,3488,
2011-11,3132,
2011-12,3137,
2012-01,3411,
2012-02,3515,
2012-03,3416,
2012-04,3221,
2012-05,2910,
2012-06,3116,
2012-07,3034,
2012-08,3070,
2012-09,3249,
2012-10,3222,
2012-11,3251,
2012-12,3379,
2013-01,3549,
2013-02,3290,
2013-03,3154,
2013-04,3507,
2013-05,3632,
2013-06,3282,
2013-07,3538,
2013-08,3656,
2013-09,3781,
2013-10,4205,
2013-11,4132,
2013-12,4064,
2014-01,4041,
2014-02,4392,
2014-03,4885,
2014-04,5145,
2014-05,5089,
2014-06,4972,
2014-07,4874,
2014-08,4764,
2014-09,4814,
2014-10,4435,
2014-11,4394,
