"",BBK01.OECM04H,BBK01.OECM04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:41,
2002-01,1.151,
2002-04,1.029,
2002-07,1.193,
2002-10,0.534,
2003-01,0.831,
2003-04,1.013,
2003-07,0.966,
2003-10,0.594,
2004-01,1.152,
2004-04,0.799,
2004-07,0.779,
2004-10,0.451,
2005-01,0.991,
2005-04,0.771,
2005-07,0.948,
2005-10,1.405,
2006-01,1.136,
2006-04,1.339,
2006-07,2.370,
2006-10,3.327,
2007-01,3.059,
2007-04,4.087,
2007-07,6.286,
2007-10,9.249,
2008-01,6.407,
2008-04,7.683,
2008-07,7.666,
2008-10,9.073,
2009-01,6.989,
2009-04,5.704,
2009-07,3.202,
2009-10,1.087,
2010-01,2.803,
2010-04,1.465,
2010-07,3.834,
2010-10,4.565,
2011-01,4.451,
2011-04,7.898,
2011-07,4.383,
2011-10,4.033,
2012-01,5.526,
2012-04,8.310,
2012-07,6.272,
2012-10,5.097,
2013-01,6.625,
2013-04,7.608,
2013-07,7.450,
2013-10,7.399,
2014-01,8.456,
2014-04,8.690,
2014-07,7.604,
