"",BBK01.OEAB23H,BBK01.OEAB23H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:40,
2002-01,3.763,
2002-04,3.413,
2002-07,2.956,
2002-10,2.790,
2003-01,3.134,
2003-04,3.491,
2003-07,4.104,
2003-10,6.108,
2004-01,5.200,
2004-04,5.029,
2004-07,5.247,
2004-10,4.330,
2005-01,3.973,
2005-04,3.775,
2005-07,3.599,
2005-10,3.419,
2006-01,3.252,
2006-04,2.906,
2006-07,2.712,
2006-10,2.616,
2007-01,2.703,
2007-04,2.759,
2007-07,2.451,
2007-10,2.254,
2008-01,1.972,
2008-04,1.878,
2008-07,1.734,
2008-10,1.813,
2009-01,1.754,
2009-04,1.743,
2009-07,2.438,
2009-10,2.599,
2010-01,2.432,
2010-04,2.349,
2010-07,2.592,
2010-10,2.617,
2011-01,2.539,
2011-04,2.572,
2011-07,3.158,
2011-10,3.563,
2012-01,3.338,
2012-04,3.039,
2012-07,2.852,
2012-10,2.815,
2013-01,2.734,
2013-04,2.631,
2013-07,2.410,
2013-10,2.336,
2014-01,2.048,
2014-04,1.932,
2014-07,1.834,
