"",BBEX3.A.MWK.USD.CA.AC.A04,BBEX3.A.MWK.USD.CA.AC.A04_FLAGS
"",Exchange rates for the US dollar in Malawi  / USD 1 = MWK ... (middle),
unit,MWK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:15:24,
1993,4.40383,
1994,9.28500,comment
1995,15.28297,
1996,15.30876,
1997,16.72137,
1998,32.11047,comment
1999,44.21639,
2000,60.74879,
2001,71.72058,
2002,77.23594,
2003,98.44851,
2004,108.90735,
2005,119.03796,
2006,136.81883,
2007,140.07305,
2008,140.53707,
2009,141.29618,
2010,150.48468,
2011,156.94441,
2012,253.49140,comment
2013,374.00115,
2014,426.07656,
"","Source: Reserve Bank of Malawi, Lilongwe",
"",Methodology: Calculated on the basis of month-end buying and selling rates.,
"","Comment on 1994: On 7 February 1994, the exchange rates were allowed to float freely.",
"","Comment on 1998: On 21 and 24 August 1998, the exchange rate were adjusted more sharply. We recorded the following exchange rates (buying/selling rate):  20 August 1998: USD 1 = MWK 26.6665 / 26.9345  21 August 1998: USD 1 = MWK 33.8300 / 34.1700  24 August 1998: USD 1 = MWK 41.7900 / 42.2100 Calculated using the exchange rates from 20 and 24 August 1998 the Malawi kwacha was devalued by 36.2%.",
"","Comment on 2012: On 7 May 2012, the Malawi kwacha was devalued. We recorded the following exchange rates (buying/selling rate):  4 May 2012: USD 1 = MWK 164.5375 / 167.8615  7 May 2012: USD 1 = MWK 247.50 / 252.50 Calculated devaluation: 33.5%.",
