"",BBK01.CEFL05,BBK01.CEFL05_FLAGS
"",Investment fund shares or units  debtor: Total                                           creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:45,
1999-01,0.0,
1999-04,0.0,
1999-07,0.0,
1999-10,0.0,
2000-01,0.0,
2000-04,0.0,
2000-07,0.0,
2000-10,0.0,
2001-01,0.0,
2001-04,0.0,
2001-07,0.0,
2001-10,0.0,
2002-01,0.0,
2002-04,0.0,
2002-07,0.0,
2002-10,0.0,
2003-01,0.0,
2003-04,0.0,
2003-07,0.0,
2003-10,0.0,
2004-01,0.0,
2004-04,0.0,
2004-07,0.0,
2004-10,0.0,
2005-01,0.0,
2005-04,0.0,
2005-07,0.0,
2005-10,0.0,
2006-01,0.0,
2006-04,0.0,
2006-07,0.0,
2006-10,0.0,
2007-01,0.0,
2007-04,0.0,
2007-07,0.0,
2007-10,0.0,
2008-01,23.0,
2008-04,17.9,
2008-07,16.8,
2008-10,14.0,
2009-01,14.9,
2009-04,15.0,
2009-07,10.6,
2009-10,8.1,
2010-01,9.3,
2010-04,13.0,
2010-07,12.9,
2010-10,12.6,
2011-01,11.7,
2011-04,12.4,
2011-07,10.8,
2011-10,9.6,
2012-01,8.7,
2012-04,8.0,
2012-07,7.9,
2012-10,12.6,
2013-01,12.1,
2013-04,12.3,
2013-07,12.7,
2013-10,13.0,
2014-01,14.3,
2014-04,15.9,
2014-07,16.5,
