"",BBK01.OEXO02S,BBK01.OEXO02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:32,
2002-01,0.160,
2002-04,0.166,
2002-07,0.143,
2002-10,0.120,
2003-01,0.151,
2003-04,0.125,
2003-07,0.121,
2003-10,0.110,
2004-01,0.131,
2004-04,0.096,
2004-07,0.088,
2004-10,0.108,
2005-01,0.138,
2005-04,0.097,
2005-07,0.109,
2005-10,0.127,
2006-01,0.169,
2006-04,0.142,
2006-07,0.129,
2006-10,0.166,
2007-01,0.302,
2007-04,0.195,
2007-07,0.203,
2007-10,0.235,
2008-01,0.260,
2008-04,0.218,
2008-07,0.227,
2008-10,0.379,
2009-01,0.204,
2009-04,0.170,
2009-07,0.177,
2009-10,0.184,
2010-01,0.161,
2010-04,0.108,
2010-07,0.120,
2010-10,0.222,
2011-01,0.231,
2011-04,0.148,
2011-07,0.124,
2011-10,0.137,
2012-01,0.141,
2012-04,0.130,
2012-07,0.132,
2012-10,0.113,
2013-01,0.109,
2013-04,0.093,
2013-07,0.090,
2013-10,0.092,
2014-01,0.091,
2014-04,0.077,
2014-07,0.137,
