"",BBK01.OEBB20R,BBK01.OEBB20R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:32,
2002-01,2.261,
2002-04,2.281,
2002-07,2.301,
2002-10,2.336,
2003-01,2.328,
2003-04,2.356,
2003-07,2.368,
2003-10,2.351,
2004-01,2.346,
2004-04,2.362,
2004-07,2.352,
2004-10,2.351,
2005-01,3.091,
2005-04,3.139,
2005-07,3.144,
2005-10,3.109,
2006-01,3.134,
2006-04,3.210,
2006-07,3.283,
2006-10,3.259,
2007-01,3.307,
2007-04,3.404,
2007-07,3.466,
2007-10,3.515,
2008-01,3.444,
2008-04,3.377,
2008-07,3.426,
2008-10,3.419,
2009-01,3.365,
2009-04,3.716,
2009-07,3.740,
2009-10,3.766,
2010-01,3.772,
2010-04,3.770,
2010-07,3.778,
2010-10,3.792,
2011-01,3.803,
2011-04,3.798,
2011-07,3.818,
2011-10,3.867,
2012-01,3.880,
2012-04,3.896,
2012-07,3.927,
2012-10,3.933,
2013-01,3.935,
2013-04,3.945,
2013-07,3.972,
2013-10,3.995,
2014-01,4.019,
2014-04,4.027,
2014-07,4.053,
