"",BBK01.OEAN03M,BBK01.OEAN03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:01,
2002-01,11.655,
2002-04,11.226,
2002-07,11.361,
2002-10,11.216,
2003-01,11.217,
2003-04,11.030,
2003-07,10.878,
2003-10,10.866,
2004-01,10.664,
2004-04,10.522,
2004-07,10.278,
2004-10,10.424,
2005-01,10.391,
2005-04,10.015,
2005-07,10.225,
2005-10,10.142,
2006-01,9.932,
2006-04,9.639,
2006-07,9.327,
2006-10,9.177,
2007-01,8.879,
2007-04,8.633,
2007-07,8.312,
2007-10,8.292,
2008-01,7.969,
2008-04,7.767,
2008-07,7.178,
2008-10,7.086,
2009-01,7.561,
2009-04,7.451,
2009-07,7.640,
2009-10,7.780,
2010-01,8.066,
2010-04,8.034,
2010-07,8.043,
2010-10,8.115,
2011-01,8.169,
2011-04,8.236,
2011-07,8.209,
2011-10,8.241,
2012-01,8.376,
2012-04,8.516,
2012-07,8.795,
2012-10,9.065,
2013-01,9.283,
2013-04,9.390,
2013-07,9.578,
2013-10,9.884,
2014-01,10.266,
2014-04,10.447,
2014-07,10.634,
