"",BBK01.PQ2724,BBK01.PQ2724_FLAGS
"",Lending to craft trades / Long-term / Banks with special functions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:25:11,
1968-10,0.021,
1969-01,0.019,
1969-04,0.018,
1969-07,0.017,
1969-10,0.018,
1970-01,0.019,
1970-04,0.020,
1970-07,0.021,
1970-10,0.021,
1971-01,0.021,
1971-04,0.022,
1971-07,0.021,
1971-10,0.022,
1972-01,0.022,
1972-04,0.024,
1972-07,0.024,
1972-10,0.024,
1973-01,0.024,
1973-04,0.023,
1973-07,0.024,
1973-10,0.025,
1974-01,0.022,
1974-04,0.025,
1974-07,0.021,
1974-10,0.021,
1975-01,0.020,
1975-04,0.020,
1975-07,0.019,
1975-10,0.020,
1976-01,0.019,
1976-04,0.018,
1976-07,0.020,
1976-10,0.018,
1977-01,0.018,
1977-04,0.017,
1977-07,0.027,
1977-10,0.016,
1978-01,0.016,
1978-04,0.010,
1978-07,0.012,
1978-10,0.019,
1979-01,0.020,
1979-04,0.020,
1979-07,0.022,
1979-10,0.025,
1980-01,0.028,
1980-04,0.022,
1980-07,0.040,
1980-10,0.047,
1981-01,0.052,
1981-04,0.055,
1981-07,0.057,
1981-10,0.059,
1982-01,0.061,
1982-04,0.067,
1982-07,0.073,
1982-10,0.081,
1983-01,0.085,
1983-04,0.100,
1983-07,0.120,
1983-10,0.141,
1984-01,0.165,
1984-04,0.189,
1984-07,0.217,
1984-10,0.241,
1985-01,0.262,
1985-04,0.289,
1985-07,0.319,
1985-10,0.350,
1986-01,0.373,
1986-04,0.403,
1986-07,0.433,
1986-10,0.458,
1987-01,0.484,
1987-04,0.504,
1987-07,0.531,
1987-10,0.562,
1988-01,0.589,
1988-04,0.618,
1988-07,0.648,
1988-10,0.676,
1989-01,0.705,
1989-04,0.736,
1989-07,0.741,
1989-10,0.773,
1990-01,0.790,
1990-04,0.816,
1990-07,0.846,
1990-10,0.881,
1991-01,0.923,
1991-04,0.996,
1991-07,1.121,
1991-10,1.271,
1992-01,1.456,
1992-04,1.641,
1992-07,1.855,
1992-10,2.025,
1993-01,2.161,
1993-04,2.443,
1993-07,2.584,
1993-10,2.590,
1994-01,2.680,
1994-04,2.770,
1994-07,2.859,
1994-10,2.960,
1995-01,3.088,
1995-04,3.200,
1995-07,3.295,
1995-10,3.356,
1996-01,3.436,
1996-04,3.451,
1996-07,3.473,
1996-10,3.432,
1997-01,3.420,
1997-04,3.349,
1997-07,3.323,
1997-10,3.252,
1998-01,3.225,
1998-04,3.164,
1998-07,3.112,
1998-10,3.039,
1999-01,3.064,
1999-04,2.951,
1999-07,2.856,
1999-10,2.723,
2000-01,2.614,
2000-04,2.532,
2000-07,2.467,
2000-10,2.424,
2001-01,2.379,
2001-04,2.303,
2001-07,2.259,
2001-10,2.148,
2002-01,2.118,
2002-04,2.072,
2002-07,2.049,
2002-10,1.913,
2003-01,1.862,
2003-04,1.975,
2003-07,1.980,
2003-10,1.871,
2004-01,1.875,
2004-04,1.791,
2004-07,1.793,
2004-10,0.515,
2005-01,0.483,
2005-04,0.529,
2005-07,0.526,
2005-10,0.462,
2006-01,0.809,
2006-04,0.811,
2006-07,0.810,
2006-10,0.811,
2007-01,0.806,
2007-04,0.802,
2007-07,0.813,
2007-10,0.843,
2008-01,0.840,
2008-04,0.842,
2008-07,0.846,
2008-10,0.882,
2009-01,0.882,
2009-04,0.894,
2009-07,0.900,
2009-10,0.910,
2010-01,0.976,
2010-04,1.640,
2010-07,1.542,
2010-10,1.561,
2011-01,1.646,
2011-04,1.632,
2011-07,1.576,
2011-10,1.608,
2012-01,1.614,
2012-04,1.663,
2012-07,1.682,
2012-10,1.684,
2013-01,1.674,
2013-04,1.650,
2013-07,1.659,
2013-10,1.614,
2014-01,1.603,
2014-04,1.606,
2014-07,1.617,
2014-10,1.581,
