"",BBK01.OEHB16P,BBK01.OEHB16P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:39,
2002-01,1.260,
2002-04,1.273,
2002-07,1.262,
2002-10,1.270,
2003-01,1.217,
2003-04,1.237,
2003-07,1.248,
2003-10,1.269,
2004-01,1.265,
2004-04,1.271,
2004-07,1.277,
2004-10,1.279,
2005-01,1.270,
2005-04,1.281,
2005-07,1.278,
2005-10,1.288,
2006-01,1.293,
2006-04,1.298,
2006-07,1.302,
2006-10,1.341,
2007-01,1.350,
2007-04,1.353,
2007-07,1.362,
2007-10,1.386,
2008-01,1.392,
2008-04,1.396,
2008-07,1.419,
2008-10,1.425,
2009-01,1.407,
2009-04,1.404,
2009-07,1.456,
2009-10,1.476,
2010-01,1.490,
2010-04,1.505,
2010-07,1.494,
2010-10,1.489,
2011-01,1.488,
2011-04,1.492,
2011-07,1.482,
2011-10,1.479,
2012-01,1.475,
2012-04,1.471,
2012-07,1.501,
2012-10,1.516,
2013-01,1.519,
2013-04,1.532,
2013-07,1.535,
2013-10,1.571,
2014-01,1.567,
2014-04,1.560,
2014-07,1.571,
