"",BBK01.OEAI04O,BBK01.OEAI04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:26,
2002-01,2.357,
2002-04,4.346,
2002-07,4.856,
2002-10,3.501,
2003-01,6.218,
2003-04,5.981,
2003-07,6.607,
2003-10,7.830,
2004-01,7.705,
2004-04,6.856,
2004-07,7.330,
2004-10,7.509,
2005-01,10.068,
2005-04,9.905,
2005-07,10.349,
2005-10,10.212,
2006-01,10.360,
2006-04,10.837,
2006-07,12.529,
2006-10,12.851,
2007-01,12.457,
2007-04,13.217,
2007-07,13.674,
2007-10,15.756,
2008-01,16.691,
2008-04,17.019,
2008-07,17.613,
2008-10,19.090,
2009-01,16.836,
2009-04,15.226,
2009-07,13.751,
2009-10,12.467,
2010-01,10.942,
2010-04,10.086,
2010-07,9.710,
2010-10,9.846,
2011-01,9.425,
2011-04,9.896,
2011-07,10.345,
2011-10,10.821,
2012-01,10.070,
2012-04,9.749,
2012-07,9.705,
2012-10,9.528,
2013-01,7.707,
2013-04,7.575,
2013-07,7.166,
2013-10,7.666,
2014-01,6.810,
2014-04,6.499,
2014-07,6.517,
