"",BBK01.OEXI08I,BBK01.OEXI08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:13,
2002-01,2.967,
2002-04,2.884,
2002-07,2.833,
2002-10,2.900,
2003-01,2.883,
2003-04,2.827,
2003-07,1.918,
2003-10,1.954,
2004-01,1.961,
2004-04,1.942,
2004-07,1.915,
2004-10,1.924,
2005-01,1.925,
2005-04,1.911,
2005-07,1.902,
2005-10,1.964,
2006-01,1.976,
2006-04,1.945,
2006-07,1.885,
2006-10,2.389,
2007-01,2.558,
2007-04,2.551,
2007-07,2.653,
2007-10,2.717,
2008-01,2.697,
2008-04,2.701,
2008-07,2.731,
2008-10,3.163,
2009-01,3.146,
2009-04,3.125,
2009-07,3.228,
2009-10,3.231,
2010-01,3.018,
2010-04,2.906,
2010-07,2.380,
2010-10,2.412,
2011-01,2.333,
2011-04,2.221,
2011-07,2.175,
2011-10,2.254,
2012-01,2.292,
2012-04,2.299,
2012-07,2.329,
2012-10,2.416,
2013-01,2.420,
2013-04,2.444,
2013-07,2.494,
2013-10,2.546,
2014-01,2.562,
2014-04,2.634,
2014-07,2.647,
