"",BBK01.OEYM02J,BBK01.OEYM02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:38,
2002-01,0.011,
2002-04,0.022,
2002-07,0.023,
2002-10,0.004,
2003-01,0.018,
2003-04,0.020,
2003-07,0.020,
2003-10,0.027,
2004-01,0.017,
2004-04,0.034,
2004-07,0.023,
2004-10,0.027,
2005-01,0.018,
2005-04,0.021,
2005-07,0.026,
2005-10,0.023,
2006-01,0.032,
2006-04,0.200,
2006-07,0.027,
2006-10,0.129,
2007-01,0.030,
2007-04,0.023,
2007-07,0.423,
2007-10,0.039,
2008-01,0.188,
2008-04,0.244,
2008-07,0.729,
2008-10,0.556,
2009-01,0.414,
2009-04,0.517,
2009-07,0.040,
2009-10,0.041,
2010-01,0.036,
2010-04,0.365,
2010-07,0.040,
2010-10,0.087,
2011-01,0.360,
2011-04,0.507,
2011-07,0.268,
2011-10,0.049,
2012-01,0.041,
2012-04,0.455,
2012-07,0.343,
2012-10,0.240,
2013-01,0.094,
2013-04,0.371,
2013-07,0.385,
2013-10,0.143,
2014-01,0.105,
2014-04,0.064,
2014-07,0.112,
