"",BBK01.CEH23Q,BBK01.CEH23Q_FLAGS
"",Currency and deposits (consolidated) debtor: Monetary financial institutions                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:14:42,
1991-01,-11.9,
1991-04,22.3,
1991-07,-0.7,
1991-10,63.4,
1992-01,-4.4,
1992-04,30.5,
1992-07,48.0,
1992-10,27.7,
1993-01,3.2,
1993-04,39.4,
1993-07,26.0,
1993-10,94.9,
1994-01,2.6,
1994-04,23.2,
1994-07,18.3,
1994-10,53.6,
1995-01,8.7,
1995-04,38.5,
1995-07,33.3,
1995-10,67.9,
1996-01,16.9,
1996-04,27.9,
1996-07,11.7,
1996-10,93.6,
1997-01,31.8,
1997-04,38.5,
1997-07,4.2,
1997-10,83.4,
1998-01,36.3,
1998-04,49.3,
1998-07,14.3,
1998-10,130.9,
1999-01,59.5,
1999-04,20.2,
1999-07,29.7,
1999-10,59.1,
2000-01,74.6,
2000-04,3.6,
2000-07,14.2,
2000-10,61.4,
2001-01,120.3,
2001-04,-9.0,
2001-07,9.2,
2001-10,-29.5,
2002-01,-14.2,
2002-04,39.5,
2002-07,50.8,
2002-10,45.0,
2003-01,55.1,
2003-04,32.9,
2003-07,7.8,
2003-10,6.1,
2004-01,69.2,
2004-04,-24.3,
2004-07,50.9,
2004-10,34.0,
2005-01,90.1,
2005-04,16.5,
2005-07,27.1,
2005-10,-4.8,
2006-01,85.4,
2006-04,47.8,
2006-07,33.3,
2006-10,23.8,
2007-01,64.4,
2007-04,82.4,
2007-07,106.4,
2007-10,35.4,
2008-01,132.2,
2008-04,22.5,
2008-07,72.6,
2008-10,-45.0,
2009-01,26.9,
2009-04,40.5,
2009-07,-63.3,
2009-10,-31.1,
2010-01,41.8,
2010-04,121.2,
2010-07,-0.1,
2010-10,-13.6,
2011-01,-31.5,
2011-04,25.7,
2011-07,144.8,
2011-10,-49.2,
2012-01,224.3,
2012-04,82.5,
2012-07,18.7,
2012-10,-124.9,
2013-01,-50.7,
2013-04,18.8,
2013-07,-81.8,
2013-10,-50.4,
2014-01,28.2,
