"",BBK01.OEAB21H,BBK01.OEAB21H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:39,
2002-01,57.830,
2002-04,57.011,
2002-07,56.040,
2002-10,56.795,
2003-01,54.308,
2003-04,54.401,
2003-07,53.888,
2003-10,61.786,
2004-01,57.504,
2004-04,53.477,
2004-07,55.243,
2004-10,51.763,
2005-01,50.835,
2005-04,49.656,
2005-07,48.293,
2005-10,47.417,
2006-01,46.368,
2006-04,44.541,
2006-07,43.322,
2006-10,43.313,
2007-01,43.501,
2007-04,43.029,
2007-07,40.930,
2007-10,39.216,
2008-01,38.621,
2008-04,37.770,
2008-07,38.541,
2008-10,36.637,
2009-01,36.860,
2009-04,35.193,
2009-07,40.039,
2009-10,41.002,
2010-01,40.046,
2010-04,40.061,
2010-07,40.445,
2010-10,103.857,
2011-01,80.825,
2011-04,65.522,
2011-07,57.088,
2011-10,52.405,
2012-01,49.026,
2012-04,48.004,
2012-07,47.680,
2012-10,46.549,
2013-01,45.287,
2013-04,43.460,
2013-07,43.308,
2013-10,42.783,
2014-01,41.114,
2014-04,39.550,
2014-07,40.215,
