"",BBK01.OECL07P,BBK01.OECL07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:01,
2002-01,0.171,
2002-04,0.131,
2002-07,0.129,
2002-10,0.142,
2003-01,0.135,
2003-04,0.133,
2003-07,0.152,
2003-10,0.157,
2004-01,0.152,
2004-04,0.154,
2004-07,0.178,
2004-10,0.198,
2005-01,0.561,
2005-04,0.560,
2005-07,0.555,
2005-10,0.545,
2006-01,0.538,
2006-04,0.526,
2006-07,0.509,
2006-10,0.497,
2007-01,0.507,
2007-04,0.494,
2007-07,0.489,
2007-10,0.496,
2008-01,0.490,
2008-04,0.508,
2008-07,0.495,
2008-10,0.498,
2009-01,0.517,
2009-04,0.561,
2009-07,0.588,
2009-10,0.605,
2010-01,0.618,
2010-04,0.612,
2010-07,0.613,
2010-10,0.624,
2011-01,0.619,
2011-04,0.597,
2011-07,0.591,
2011-10,0.601,
2012-01,0.657,
2012-04,0.642,
2012-07,0.630,
2012-10,0.639,
2013-01,0.632,
2013-04,0.619,
2013-07,0.596,
2013-10,0.589,
2014-01,0.570,
2014-04,0.558,
2014-07,0.568,
