"",BBK01.OEAH74G,BBK01.OEAH74G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:33,
2002-01,4.069,
2002-04,5.444,
2002-07,5.112,
2002-10,4.934,
2003-01,4.310,
2003-04,4.421,
2003-07,3.768,
2003-10,4.159,
2004-01,3.296,
2004-04,3.929,
2004-07,4.143,
2004-10,3.546,
2005-01,3.365,
2005-04,3.341,
2005-07,3.062,
2005-10,3.141,
2006-01,3.753,
2006-04,4.022,
2006-07,4.351,
2006-10,5.265,
2007-01,5.152,
2007-04,7.500,
2007-07,9.073,
2007-10,8.923,
2008-01,8.123,
2008-04,11.336,
2008-07,10.726,
2008-10,10.959,
2009-01,9.770,
2009-04,5.650,
2009-07,4.963,
2009-10,5.309,
2010-01,3.682,
2010-04,5.071,
2010-07,7.162,
2010-10,4.333,
2011-01,4.872,
2011-04,7.225,
2011-07,5.393,
2011-10,5.231,
2012-01,5.797,
2012-04,6.316,
2012-07,7.963,
2012-10,9.140,
2013-01,6.743,
2013-04,4.821,
2013-07,7.137,
2013-10,10.085,
2014-01,8.743,
2014-04,10.553,
2014-07,12.539,
