"",BBEX3.M.NPR.EUR.CA.AB.A01,BBEX3.M.NPR.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Nepal / EUR 1 = NPR ... (selling),
unit,NPR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:51,
1999-01,77.58,
1999-02,74.75,
1999-03,73.12,
1999-04,73.00,
1999-05,71.76,
1999-06,71.19,
1999-07,73.58,
1999-08,72.16,
1999-09,72.74,
1999-10,72.76,
1999-11,69.84,
1999-12,69.37,
2000-01,68.18,
2000-02,66.69,
2000-03,66.13,
2000-04,63.19,
2000-05,65.97,
2000-06,67.07,
2000-07,66.34,
2000-08,65.00,
2000-09,64.75,
2000-10,62.74,
2000-11,64.24,
2000-12,69.36,
2001-01,68.29,
2001-02,68.13,
2001-03,65.74,
2001-04,67.72,
2001-05,64.30,
2001-06,63.57,
2001-07,67.33,
2001-08,68.44,
2001-09,70.00,
2001-10,69.56,
2001-11,68.20,
2001-12,68.00,
2002-01,66.63,
2002-02,67.41,
2002-03,68.07,
2002-04,70.65,
2002-05,73.76,
2002-06,77.87,
2002-07,77.07,
2002-08,77.44,
2002-09,76.84,
2002-10,77.31,
2002-11,78.09,
2002-12,81.64,
2003-01,84.55,
2003-02,84.47,
2003-03,83.70,
2003-04,85.32,
2003-05,90.25,
2003-06,87.33,
2003-07,86.20,
2003-08,81.59,
2003-09,85.36,
2003-10,86.46,
2003-11,88.95,
2003-12,92.94,
2004-01,93.57,
2004-02,92.08,
2004-03,88.22,
2004-04,85.74,
2004-05,90.86,
2004-06,90.83,
2004-07,90.75,
2004-08,91.17,
2004-09,92.44,
2004-10,94.97,
2004-11,97.51,
2004-12,97.20,
2005-01,92.82,
2005-02,94.07,
2005-03,92.39,
2005-04,92.06,
2005-05,88.63,
2005-06,85.39,
2005-07,85.44,
2005-08,87.69,
2005-09,86.55,
2005-10,88.87,
2005-11,88.03,
2005-12,86.97,
2006-01,86.75,
2006-02,85.37,
2006-03,87.10,
2006-04,90.47,
2006-05,95.54,
2006-06,93.68,
2006-07,95.17,
2006-08,96.04,
2006-09,94.03,
2006-10,92.36,
2006-11,94.69,
2006-12,93.87,
2007-01,92.11,
2007-02,93.62,
2007-03,93.44,
2007-04,89.69,
2007-05,87.87,
2007-06,88.49,
2007-07,89.37,
2007-08,90.54,
2007-09,91.10,
2007-10,92.02,
2007-11,94.87,
2007-12,93.53,
2008-01,94.06,
2008-02,96.96,
2008-03,101.42,
2008-04,101.12,
2008-05,108.82,
2008-06,108.44,
2008-07,106.54,
2008-08,104.16,
2008-09,108.95,
2008-10,105.58,
2008-11,103.77,
2008-12,111.23,
2009-01,101.60,
2009-02,103.76,
2009-03,108.76,
2009-04,106.12,
2009-05,105.97,
2009-06,108.35,
2009-07,109.62,
2009-08,111.99,
2009-09,113.96,
2009-10,111.90,
2009-11,111.77,
2009-12,108.06,
2010-01,103.97,
2010-02,100.77,
2010-03,97.90,
2010-04,94.59,
2010-05,91.95,
2010-06,91.45,
2010-07,97.67,
2010-08,95.65,
2010-09,98.48,
2010-10,98.96,
2010-11,97.67,
2010-12,95.82,
2011-01,100.64,
2011-02,100.60,
2011-03,101.11,
2011-04,105.74,
2011-05,103.12,
2011-06,103.79,
2011-07,101.31,
2011-08,107.18,
2011-09,106.91,
2011-10,110.78,
2011-11,111.40,
2011-12,110.76,
2012-01,104.03,
2012-02,105.87,
2012-03,109.72,
2012-04,111.81,
2012-05,112.03,
2012-06,113.78,
2012-07,109.07,
2012-08,112.17,
2012-09,109.29,
2012-10,112.19,
2012-11,114.56,
2012-12,116.43,
2013-01,115.97,
2013-02,112.87,
2013-03,111.69,
2013-04,114.19,
2013-05,116.87,
2013-06,126.12,
2013-07,128.26,
2013-08,141.30,
2013-09,135.63,
2013-10,135.61,
2013-11,136.19,
2013-12,136.76,
2014-01,136.60,
2014-02,135.91,
2014-03,132.25,
2014-04,134.40,
2014-05,129.02,
2014-06,131.64,
2014-07,129.19,
2014-08,128.02,
2014-09,125.42,
2014-10,124.15,
2014-11,123.88,
2014-12,123.71,
2015-01,112.80,
"","Source: Nepal Rastra Bank, Kathmandu",
