"",BBK01.CEFFN1E,BBK01.CEFFN1E_FLAGS
"",long-term loans                                            debtor: Rest of the world                  creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:53,
1999-01,10.1,
1999-04,10.5,
1999-07,12.8,
1999-10,12.8,
2000-01,14.2,
2000-04,16.3,
2000-07,16.9,
2000-10,17.2,
2001-01,18.0,
2001-04,19.2,
2001-07,18.9,
2001-10,19.0,
2002-01,26.0,
2002-04,26.3,
2002-07,28.8,
2002-10,23.4,
2003-01,23.5,
2003-04,22.2,
2003-07,22.1,
2003-10,22.6,
2004-01,21.6,
2004-04,22.5,
2004-07,22.8,
2004-10,21.7,
2005-01,25.5,
2005-04,22.2,
2005-07,21.7,
2005-10,23.2,
2006-01,23.7,
2006-04,23.2,
2006-07,23.6,
2006-10,24.3,
2007-01,23.6,
2007-04,23.9,
2007-07,28.4,
2007-10,29.8,
2008-01,34.1,
2008-04,31.9,
2008-07,32.5,
2008-10,31.3,
2009-01,32.8,
2009-04,32.2,
2009-07,37.3,
2009-10,36.5,
2010-01,38.9,
2010-04,41.6,
2010-07,38.8,
2010-10,38.9,
2011-01,40.3,
2011-04,38.6,
2011-07,38.2,
2011-10,38.3,
2012-01,39.0,
2012-04,40.2,
2012-07,41.6,
2012-10,39.9,
2013-01,40.3,
2013-04,46.4,
2013-07,48.4,
2013-10,46.4,
2014-01,47.7,
2014-04,45.7,
2014-07,46.8,
