"",BBK01.OECO03V,BBK01.OECO03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:15,
2002-01,0.259,
2002-04,0.536,
2002-07,0.135,
2002-10,0.149,
2003-01,0.187,
2003-04,0.180,
2003-07,0.169,
2003-10,0.176,
2004-01,0.194,
2004-04,0.169,
2004-07,0.181,
2004-10,0.230,
2005-01,0.858,
2005-04,0.388,
2005-07,0.346,
2005-10,0.394,
2006-01,0.432,
2006-04,0.374,
2006-07,0.387,
2006-10,0.424,
2007-01,0.506,
2007-04,0.364,
2007-07,0.368,
2007-10,0.353,
2008-01,0.402,
2008-04,0.344,
2008-07,0.310,
2008-10,0.352,
2009-01,0.373,
2009-04,0.286,
2009-07,0.318,
2009-10,0.305,
2010-01,0.342,
2010-04,0.302,
2010-07,0.164,
2010-10,0.209,
2011-01,0.305,
2011-04,0.285,
2011-07,0.254,
2011-10,0.216,
2012-01,0.282,
2012-04,0.232,
2012-07,0.207,
2012-10,0.188,
2013-01,0.380,
2013-04,0.238,
2013-07,0.206,
2013-10,0.173,
2014-01,0.178,
2014-04,0.168,
2014-07,0.175,
