"",BBK01.OEAA46S,BBK01.OEAA46S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:12,
2002-01,0.117,
2002-04,0.118,
2002-07,0.122,
2002-10,0.157,
2003-01,0.132,
2003-04,0.095,
2003-07,0.095,
2003-10,0.143,
2004-01,0.124,
2004-04,0.103,
2004-07,0.086,
2004-10,0.058,
2005-01,0.050,
2005-04,0.099,
2005-07,0.107,
2005-10,0.123,
2006-01,0.099,
2006-04,0.092,
2006-07,0.091,
2006-10,0.094,
2007-01,0.131,
2007-04,0.154,
2007-07,0.184,
2007-10,0.198,
2008-01,0.236,
2008-04,0.302,
2008-07,0.343,
2008-10,0.386,
2009-01,0.360,
2009-04,0.485,
2009-07,0.483,
2009-10,0.577,
2010-01,0.568,
2010-04,0.615,
2010-07,0.618,
2010-10,0.612,
2011-01,0.703,
2011-04,0.907,
2011-07,1.027,
2011-10,1.156,
2012-01,1.154,
2012-04,1.073,
2012-07,1.052,
2012-10,1.021,
2013-01,0.992,
2013-04,0.958,
2013-07,0.934,
2013-10,0.861,
2014-01,0.844,
2014-04,0.692,
2014-07,0.696,
