"",BBK01.OEXB05R,BBK01.OEXB05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:47,
2002-01,5.179,
2002-04,5.323,
2002-07,5.465,
2002-10,5.604,
2003-01,5.557,
2003-04,5.694,
2003-07,5.718,
2003-10,5.766,
2004-01,5.800,
2004-04,5.866,
2004-07,5.923,
2004-10,5.453,
2005-01,5.438,
2005-04,5.511,
2005-07,5.496,
2005-10,5.448,
2006-01,5.509,
2006-04,5.641,
2006-07,5.747,
2006-10,5.883,
2007-01,6.040,
2007-04,6.138,
2007-07,6.187,
2007-10,6.359,
2008-01,11.255,
2008-04,6.640,
2008-07,6.693,
2008-10,6.830,
2009-01,6.767,
2009-04,6.925,
2009-07,7.098,
2009-10,7.347,
2010-01,7.614,
2010-04,7.820,
2010-07,7.988,
2010-10,8.121,
2011-01,8.258,
2011-04,8.405,
2011-07,8.509,
2011-10,8.805,
2012-01,8.935,
2012-04,9.092,
2012-07,9.245,
2012-10,9.448,
2013-01,9.580,
2013-04,9.696,
2013-07,9.830,
2013-10,10.111,
2014-01,10.271,
2014-04,10.215,
2014-07,10.288,
