"",BBFN1.M.DE.N.1.A.U2.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U2.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:04,
1995-01,4.305,
1995-02,4.322,
1995-03,4.433,
1995-04,4.383,
1995-05,4.393,
1995-06,4.275,
1995-07,4.267,
1995-08,4.704,
1995-09,5.652,
1995-10,5.654,
1995-11,5.614,
1995-12,5.428,
1996-01,5.399,
1996-02,5.481,
1996-03,5.394,
1996-04,5.402,
1996-05,5.444,
1996-06,5.318,
1996-07,5.305,
1996-08,5.300,
1996-09,5.240,
1996-10,5.281,
1996-11,6.286,
1996-12,6.102,
1997-01,6.163,
1997-02,6.204,
1997-03,6.587,
1997-04,6.600,
1997-05,6.736,
1997-06,6.691,
1997-07,6.548,
1997-08,6.327,
1997-09,6.241,
1997-10,6.137,
1997-11,6.261,
1997-12,6.408,
1998-01,6.506,
1998-02,6.525,
1998-03,6.827,
1998-04,6.945,
1998-05,6.403,
1998-06,6.416,
1998-07,6.545,
1998-08,6.862,
1998-09,6.861,
1998-10,7.105,
1998-11,7.253,
1998-12,7.666,
1999-01,8.135,
1999-02,8.355,
1999-03,8.275,
1999-04,8.632,
1999-05,8.734,
1999-06,9.735,
1999-07,10.027,
1999-08,10.204,
1999-09,9.711,
1999-10,9.943,
1999-11,9.773,
1999-12,10.059,
2000-01,10.340,
2000-02,10.378,
2000-03,9.900,
2000-04,10.041,
2000-05,10.002,
2000-06,9.662,
2000-07,9.785,
2000-08,10.307,
2000-09,10.309,
2000-10,10.650,
2000-11,11.141,
2000-12,11.236,
2001-01,11.511,
2001-02,11.414,
2001-03,11.646,
2001-04,11.586,
2001-05,12.102,
2001-06,12.284,
2001-07,12.370,
2001-08,13.012,
2001-09,12.560,
2001-10,13.548,
2001-11,13.749,
2001-12,13.835,
2002-01,14.208,
2002-02,14.359,
2002-03,14.683,
2002-04,15.078,
2002-05,14.992,
2002-06,15.002,
2002-07,16.297,
2002-08,16.380,
2002-09,16.128,
2002-10,16.332,
2002-11,16.822,
2002-12,16.493,
2003-01,18.664,
2003-02,18.928,
2003-03,18.948,
2003-04,19.540,
2003-05,19.804,
2003-06,19.999,
2003-07,20.057,
2003-08,19.398,
2003-09,19.562,
2003-10,20.197,
2003-11,20.028,
2003-12,19.872,
2004-01,20.388,
2004-02,19.218,
2004-03,19.612,
2004-04,20.126,
2004-05,20.677,
2004-06,20.952,
2004-07,21.966,
2004-08,22.130,
2004-09,23.399,
2004-10,23.780,
2004-11,24.436,
2004-12,24.167,
2005-01,26.293,
2005-02,26.718,
2005-03,27.461,
2005-04,27.895,
2005-05,26.340,
2005-06,28.036,
2005-07,28.145,
2005-08,28.402,
2005-09,28.874,
2005-10,29.013,
2005-11,29.259,
2005-12,31.509,
2006-01,32.987,
2006-02,34.747,
2006-03,36.137,
2006-04,37.208,
2006-05,37.772,
2006-06,40.416,
2006-07,41.693,
2006-08,44.604,
2006-09,46.088,
2006-10,48.867,
2006-11,50.956,
2006-12,53.797,
2007-01,56.813,
2007-02,56.940,
2007-03,61.762,
2007-04,65.997,
2007-05,72.327,
2007-06,75.945,
2007-07,77.535,
2007-08,80.567,
2007-09,85.176,
2007-10,91.457,
2007-11,97.960,
2007-12,95.365,
2008-01,100.893,
2008-02,104.980,
2008-03,104.237,
2008-04,106.975,
2008-05,109.051,
2008-06,107.976,
2008-07,112.039,
2008-08,113.700,
2008-09,116.590,
2008-10,122.276,
2008-11,124.555,
2008-12,113.488,
2009-01,113.650,
2009-02,114.781,
2009-03,115.684,
2009-04,118.562,
2009-05,119.826,
2009-06,112.636,
2009-07,118.433,
2009-08,125.774,
2009-09,126.720,
2009-10,131.563,
2009-11,137.749,
2009-12,136.139,
2010-01,139.317,
2010-02,145.118,
2010-03,144.763,
2010-04,152.313,
2010-05,154.759,
2010-06,153.058,
2010-07,159.810,
2010-08,166.498,
2010-09,166.824,
2010-10,171.353,
2010-11,176.076,
2010-12,175.311,
2011-01,181.839,
2011-02,176.091,
2011-03,174.139,
2011-04,176.081,
2011-05,180.850,
2011-06,174.190,
2011-07,176.280,
2011-08,175.437,
2011-09,171.416,
2011-10,157.714,
2011-11,155.079,
2011-12,149.799,
2012-01,150.691,
2012-02,151.757,
2012-03,151.394,
2012-04,152.608,
2012-05,153.163,
2012-06,148.800,
2012-07,151.416,
2012-08,153.452,
2012-09,151.729,
2012-10,151.515,
2012-11,155.583,
2012-12,159.243,
2013-01,160.052,
2013-02,161.185,
2013-03,162.527,
2013-04,164.393,
2013-05,168.826,
2013-06,168.097,
2013-07,167.660,
2013-08,169.717,
2013-09,173.338,
2013-10,172.576,
2013-11,177.296,
2013-12,178.343,
2014-01,176.990,
2014-02,178.117,
2014-03,181.189,
2014-04,182.000,
2014-05,183.968,
2014-06,184.286,
2014-07,185.674,
2014-08,187.590,
2014-09,187.891,
2014-10,186.427,
2014-11,187.140,
2014-12,188.762,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
