"",BBK01.OEHI01V,BBK01.OEHI01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:31,
2002-01,31.753,
2002-04,31.685,
2002-07,31.737,
2002-10,32.998,
2003-01,32.476,
2003-04,32.044,
2003-07,32.056,
2003-10,32.748,
2004-01,32.105,
2004-04,31.863,
2004-07,31.608,
2004-10,32.498,
2005-01,31.880,
2005-04,31.631,
2005-07,31.479,
2005-10,32.311,
2006-01,31.702,
2006-04,31.768,
2006-07,31.217,
2006-10,32.032,
2007-01,31.692,
2007-04,31.524,
2007-07,31.569,
2007-10,32.422,
2008-01,31.972,
2008-04,31.889,
2008-07,32.023,
2008-10,33.603,
2009-01,33.282,
2009-04,33.522,
2009-07,33.412,
2009-10,34.309,
2010-01,34.212,
2010-04,34.368,
2010-07,34.528,
2010-10,35.380,
2011-01,34.918,
2011-04,34.917,
2011-07,34.768,
2011-10,35.650,
2012-01,35.330,
2012-04,35.635,
2012-07,35.979,
2012-10,36.835,
2013-01,36.792,
2013-04,37.036,
2013-07,37.133,
2013-10,37.879,
2014-01,37.944,
2014-04,38.424,
2014-07,38.506,
