"",BBK01.OEAH33T,BBK01.OEAH33T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:51,
2002-01,0.054,
2002-04,0.048,
2002-07,0.048,
2002-10,0.055,
2003-01,0.065,
2003-04,0.057,
2003-07,0.058,
2003-10,0.077,
2004-01,0.068,
2004-04,0.078,
2004-07,0.079,
2004-10,0.073,
2005-01,0.076,
2005-04,0.070,
2005-07,0.111,
2005-10,0.115,
2006-01,0.115,
2006-04,0.138,
2006-07,0.113,
2006-10,0.157,
2007-01,0.197,
2007-04,0.176,
2007-07,0.183,
2007-10,0.190,
2008-01,0.199,
2008-04,0.224,
2008-07,0.239,
2008-10,0.227,
2009-01,0.238,
2009-04,0.148,
2009-07,0.149,
2009-10,0.153,
2010-01,0.150,
2010-04,0.152,
2010-07,0.151,
2010-10,0.149,
2011-01,0.158,
2011-04,0.173,
2011-07,0.172,
2011-10,0.191,
2012-01,0.222,
2012-04,0.225,
2012-07,0.214,
2012-10,0.224,
2013-01,0.233,
2013-04,0.248,
2013-07,0.238,
2013-10,0.228,
2014-01,0.261,
2014-04,0.322,
2014-07,0.318,
